code,date
288330,20260422
226440,20260303
082210,20260202
066430,20240604
123750,20241017
263540,20251219
038340,20260114
121850,20260325
269620,20240122
066790,20240220
062860,20250516
060240,20250102
082660,20250916
400840,20240716
078940,20240221
033200,20250620
430460,20251125
052670,20250206
140410,20260331
393360,20250821
174900,20250710
052670,20250313
400840,20250416
900270,20260305
900280,20250317
121800,20240605
900280,20250527
415580,20260528
106520,20251028
066410,20260422
139050,20260506
006580,20250321
065150,20260422
219550,20260202
405640,20250806
099520,20260619
023460,20250929
065650,20250811
097780,20260424
208860,20240517
380540,20260326
053590,20250613
413630,20240116
446150,20250821
052770,20260112
422040,20251127
299660,20240801
331380,20260122
149980,20251028
136510,20250820
174880,20241219
258830,20250819
268600,20240126
406760,20240620
050090,20260130
189860,20260312
030350,20260102
222160,20241011
150840,20250718
430230,20250507
036690,20250124
020710,20250415
290720,20260310
038880,20250827
308080,20260602
436610,20251103
053620,20240711
080720,20241128
208340,20260430
014200,20250516
473370,20251013
053590,20240313
073640,20240729
030530,20251024
321370,20260130
036180,20240920
239340,20241205
413600,20260626
038340,20250825
183490,20260619
092600,20260223
263540,20250902
054180,20241205
442770,20250523
373200,20250117
030350,20251223
427950,20260205
214870,20260310
444920,20260402
323230,20250430
269620,20240718
354320,20260130
080000,20250515
405640,20250108
419270,20260619
100590,20260417
308100,20250423
245620,20251125
393360,20251202
222810,20250818
024740,20241106
043100,20260508
136510,20240514
422040,20250616
226340,20250220
433530,20260521
436610,20250116
454750,20260211
016790,20240625
036180,20260212
323280,20250811
065690,20241129
440790,20250624
036180,20250114
058450,20260402
151910,20240830
219750,20240822
245620,20240913
072520,20241213
111870,20251216
438220,20251106
057880,20240320
244460,20260102
121850,20241216
078940,20251126
257370,20240422
073570,20251106
065570,20260112
418250,20250604
377460,20240603
217620,20240930
178780,20240716
397880,20260414
436530,20250625
082210,20260108
050090,20250620
115610,20240131
400840,20241204
284620,20250409
082660,20250730
268600,20250226
440110,20260129
405000,20250423
092600,20250910
175140,20241017
043090,20250121
442900,20251031
226440,20240920
065170,20251125
245620,20241120
430220,20260623
066430,20241111
405640,20250326
052670,20241107
080000,20260114
440820,20250627
099520,20240116
900300,20240229
082660,20240715
323350,20260211
412540,20250418
454750,20250714
405640,20250421
219550,20260108
372290,20260528
136510,20250512
396270,20251015
082210,20260219
047820,20240822
043090,20251112
046070,20240703
317120,20251017
106520,20250701
006580,20251118
226440,20260212
033200,20250319
100790,20260428
263540,20250626
078940,20251113
226440,20250114
234920,20260410
214310,20250911
175250,20250924
016790,20241022
196300,20250317
085810,20260409
196300,20250527
018700,20260527
065690,20260213
438580,20240205
065560,20240517
442770,20260609
065650,20250919
455250,20260407
044060,20240425
241820,20251229
036690,20250826
036690,20260330
217480,20250409
068940,20241017
412930,20240725
174900,20250528
033200,20250721
149980,20250701
219550,20260219
393360,20240708
032940,20260107
412540,20260220
458870,20251015
030350,20241121
058820,20250502
096040,20250423
203690,20240808
214310,20260515
351320,20250212
241820,20250424
219750,20240618
405640,20250925
189860,20250717
040910,20251204
082660,20260320
024810,20240605
024810,20250123
054630,20260326
440790,20250916
442310,20260521
417840,20260423
092190,20260423
117670,20240613
082210,20250401
436610,20250814
440790,20251118
052020,20240604
288330,20260421
377400,20250414
406760,20251120
052020,20240926
042520,20251125
080000,20250825
446150,20240708
427950,20240820
