code,name,type,desig_date,title
014100,메디앙스,환기종목,20200319,메디앙스(주) 투자주의환기종목지정(내부회계관리제도 비적정 등 )                                                                                                                                                                                                          
032860,더라미,관리종목,20220624,(주)휴먼엔 관리종목지정사유추가(회생절차 개시신청)                                                                                                                                                                                                                      
033340,좋은사람들,관리종목,20230508,(주)좋은사람들 관리종목지정(상장적격성 실질심사 대상 결정)                                                                                                                                                                                                              
039310,세중,환기종목,20230321,(주)세중 투자주의환기종목지정(내부회계관리제도 비적정 등)                                                                                                                                                                                                               
047820,초록뱀미디어,관리종목,20230830,(주)초록뱀미디어 관리종목지정(상장적격성 실질심사 대상 결정)                                                                                                                                                                                                            
051980,중앙첨단소재,환기종목,20230323,(주)중앙디앤엠 투자주의환기종목지정사유추가(5사업연도 연속 영업손실 발생)                                                                                                                                                                                               
056090,시지메드텍,관리종목,20230228,이노시스(주) 관리종목지정(상장적격성 실질심사 대상 결정)                                                                                                                                                                                                                
059090,미코,환기종목,20230330,(주)미코 투자주의환기종목지정(내부회계관리제도 비적정 등)                                                                                                                                                                                                               
078130,국일제지,환기종목,20230321,국일제지(주) 투자주의환기종목지정(내부회계관리제도 비적정 등)                                                                                                                                                                                                           
082800,비보존 제약,환기종목,20221209,(주)비보존제약 투자주의환기종목지정(코스닥시장 상장규정 개정)                                                                                                                                                                                                           
083660,CSA 코스믹,관리종목,20230217,(주)씨에스에이코스믹 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생                                                                                                                                                                         
090710,휴림로봇,환기종목,20230407,휴림로봇(주) 투자주의환기종목지정(내부회계관리제도 비적정 등)                                                                                                                                                                                                           
091440,한울소재과학,투자위험,20231220,(주)텔레필드 투자위험종목 지정                                                                                                                                                                                                                                          
101000,KS인더스트리,관리종목,20230210,(주)상상인인더스트리 (정정)내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생                                                                                                                                                                   
101930,인화정공,환기종목,20230814,인화정공(주) 투자주의환기종목지정(반기 검토(감사)의견 비적정)                                                                                                                                                                                                           
114810,한솔아이원스,환기종목,20220407,아이원스(주) 투자주의환기종목지정(내부회계관리제도 비적정 등)                                                                                                                                                                                                           
117670,알파칩스,환기종목,20221209,(주)알파홀딩스 투자주의환기종목지정(코스닥시장 상장규정 개정)                                                                                                                                                                                                           
127120,제이에스링크,환기종목,20230330,(주)디엔에이링크 투자주의환기종목지정(내부회계관리제도 비적정 등)                                                                                                                                                                                                       
136480,하림,투자경고,20231221,(주)하림 투자경고종목지정                                                                                                                                                                                                                                               
159910,에코글로우,환기종목,20230406,(주)스킨앤스킨 투자주의환기종목지정(내부회계관리제도 비적정 등)                                                                                                                                                                                                         
177350,베셀,투자경고,20231214,(주)베셀 투자경고종목지정                                                                                                                                                                                                                                               
178780,일월지엠엘,환기종목,20221214,(주)유테크 투자주의환기종목지정사유추가(5사업연도 연속 영업손실 발생)                                                                                                                                                                                                   
200780,비씨월드제약,환기종목,20230322,(주)비씨월드제약 투자주의환기종목지정(내부회계관리제도 비적정 등)                                                                                                                                                                                                       
215090,솔디펜스,환기종목,20221209,(주)휴센텍 투자주의환기종목지정사유추가(코스닥시장 상장규정 개정)                                                                                                                                                                                                       
253590,네오셈,투자경고,20231218,(주)네오셈 투자경고종목지정                                                                                                                                                                                                                                             
257370,피엔티엠에스,?,,
294140,레몬,환기종목,20230811,(주)레몬 투자주의환기종목지정(반기 자본잠식률 50% 이상)                                                                                                                                                                                                                 
318020,포인트모바일,관리종목,20220329,(주)포인트모바일 관리종목지정(상장폐지사유 발생)                                                                                                                                                                                                                        
321820,아티스트컴퍼니,투자위험,20231218,(주)와이더플래닛 투자위험종목 지정                                                                                                                                                                                                                                      
383930,디티앤씨알오,투자경고,20231122,주식회사 디티앤씨알오 투자경고종목지정                                                                                                                                                                                                                                  
417200,LS머트리얼즈,투자경고,20231219,엘에스머트리얼즈 주식회사 투자경고종목지정                                                                                                                                                                                                                              
