fam,code,name,group,mktcap,shares,spac,trade_gubun
m003,0001A0,덕양에너젠,ST,221325279780,25468962,N,0
m003,000250,삼천당제약,ST,4682111411200,23457472,N,0
m003,000440,중앙에너비스,ST,86993006100,6227130,N,0
m003,0004V0,엔비알모션,ST,73989780480,11010384,N,0
m003,0004Y0,디비금융제14호스팩,ST,10683150000,5315000,Y,0
m003,0007C0,아크릴,ST,134668533480,8030324,N,0
m003,0007J0,인벤테라,ST,65600054760,7865714,N,0
m003,0008Z0,에스엔시스,ST,203829782400,9436564,N,0
m003,0009K0,에임드바이오,ST,1548874305950,64671161,N,0
m003,001000,신라섬유,ST,20611631460,24277540,N,0
m003,0010F0,보원케미칼,ST,25630282300,11143601,N,0
m003,0010V0,제이피아이헬스케어,ST,37933122000,5105400,N,0
m003,0011A0,액스비스,ST,94830798400,9333740,N,0
m003,0011T0,채비,ST,277002586900,46949591,N,0
m003,0013V0,삼진식품,ST,52866436480,9918656,N,0
m003,001540,안국약품,ST,146075104000,13042420,N,0
m003,0015G0,그린광학,ST,193208951910,11702541,N,0
m003,0015N0,아로마티카,ST,67915378800,12576922,N,0
m003,0015S0,페스카로,ST,73211136600,9866730,N,0
m003,0017J0,세미티에스,ST,109395941490,30136623,N,0
m003,001810,무림SP,ST,26498587500,22137500,N,0
m003,001840,이화공영,ST,62588831935,28256809,N,0
m003,002230,피에스텍,ST,91469014800,18705320,N,0
m003,002290,삼일기업공사,ST,41292000000,12400000,N,0
m003,002680,한탑,ST,10373691195,6463359,N,0
m003,002800,신신제약,ST,67053610000,15170500,N,0
m003,003100,선광,ST,126060000000,6600000,N,0
m003,003310,대주산업,ST,57901884600,35392350,N,0
m003,003380,하림지주,ST,1160378233560,112005621,N,0
m003,0037T0,KB제32호스팩,ST,12634680000,6330000,Y,0
m003,003800,에이스침대,ST,354880000000,11090000,N,0
m003,0039P0,매드업,ST,150349336000,18746800,N,0
m003,0041B0,교보18호스팩,ST,10206000000,5040000,Y,0
m003,0041J0,엘에스스팩1호,ST,8191230000,4110000,Y,0
m003,0041L0,하나35호스팩,ST,12180600000,6030000,Y,0
m003,0044K0,삼성스팩10호,ST,15017440000,7520000,Y,0
m003,004590,한국가구,ST,80550000000,15000000,N,0
m003,004650,창해에탄올,ST,86118592450,9190885,N,0
m003,004780,대륙제관,ST,62181508090,15903199,N,0
m003,005160,동국산업,ST,125847198240,54244482,N,0
m003,005290,동진쎄미켐,ST,2403241440900,50970126,N,0
m003,0054V0,엔에이치스팩32호,ST,12588412500,6216500,Y,0
m003,005670,푸드웰,ST,62900000000,10000000,N,0
m003,005710,대원산업,ST,211597056000,20037600,N,0
m003,005860,한일사료,ST,96342009825,39403685,N,0
m003,005990,매일홀딩스,ST,137105514240,13298304,N,0
m003,006050,국영지앤엠,ST,15807545079,34895243,N,0
m003,006140,피제이전자,ST,67115475000,14865000,N,0
m003,006620,동구바이오제약,ST,106886044960,28464992,N,0
m003,006730,서부T&D,ST,693547999170,64276923,N,0
m003,0068Y0,비엔케이제3호스팩,ST,8559660000,4310000,Y,0
m003,006910,보성파워텍,ST,346365259200,49129824,N,0
m003,006920,모헨즈,ST,38929800000,10920000,N,0
m003,0071M0,삼성스팩11호,ST,11606400000,5760000,Y,0
m003,0072Z0,KB제33호스팩,ST,15722690000,7885000,Y,0
m003,007330,푸른저축은행,ST,156710292000,15082800,N,0
m003,007370,진양제약,ST,55124889300,14134587,N,0
m003,007390,네이처셀,ST,1623763411200,64435056,N,0
m003,007530,와이엠,ST,42972920061,22254231,N,0
m003,007680,대원,ST,57056114470,13222738,N,0
m003,007720,소노스퀘어,ST,30139334550,100800450,N,0
m003,007770,한일화학,ST,22955400000,3510000,N,0
m003,007820,엠엑스로보틱스,ST,56295388260,20033946,N,0
m003,008290,원풍물산,ST,5330871818,20346839,N,0
m003,0082N0,카나프테라퓨틱스,ST,175629659200,13265080,N,0
m003,008370,원풍,ST,58680000000,12000000,N,0
m003,008470,부스타,ST,30719544000,8404800,N,0
m003,008830,대동기어,ST,93380332800,8987520,N,0
m003,0088D0,메리츠제1호스팩,ST,12285400000,5795000,Y,0
m003,0088M0,메쥬,ST,147238075000,9881750,N,0
m003,0091W0,신영스팩11호,ST,12257360000,6068000,Y,0
m003,009300,삼아제약,ST,81663400000,6370000,N,0
m003,0093G0,미래에셋비전스팩8호,ST,12768000000,6400000,Y,0
m003,009520,포스코엠텍,ST,483471781830,41642703,N,0
m003,009620,삼보산업,ST,11549684728,17473048,N,0
m003,0096B0,삼성스팩12호,ST,13100780000,6580000,Y,0
m003,0096D0,미래에셋비전스팩9호,ST,10983500000,5500000,Y,0
m003,009730,이렘,ST,12992094206,71779526,N,0
m003,009780,엠에스씨,ST,110000000000,17600000,N,0
m003,0097F0,미래에셋비전스팩10호,ST,12974000000,6500000,Y,0
m003,0098T0,교보19호스팩,ST,10783800000,5400000,Y,0
m003,0099W0,미래에셋비전스팩11호,ST,14000000000,7000000,Y,0
m003,0099X0,IBKS제25호스팩,ST,13036400000,5980000,Y,0
m003,010170,대한광통신,ST,1959119316000,155485660,N,0
m003,0101C0,하나36호스팩,ST,15472260000,7740000,Y,0
m003,010240,흥국,ST,64968300000,11706000,N,0
m003,010280,아이티센엔텍,ST,62062967105,13024757,N,0
m003,010470,오리콤,ST,57480240000,11975050,N,0
