code,listed,traded_days,amt_sum,amt_avg,no_trade_pct,years,group,mktcap,name,spac,decile,nxt_yr,krx_yr
196170,573,573,137859285137500.0,240592120658.8133,0.0,2.3677685950413223,ST,17361975132000.0,알테오젠,N,D1,36861221907258.06,55052717827186.47
086520,594,594,102826540454500.0,173108653963.80472,0.0,2.4545454545454546,ST,11649593841600.0,에코프로,N,D1,37459313388058.06,41062743877869.64
247540,606,606,74518124739500.0,122967202540.42905,0.0,2.5041322314049586,ST,11896180774400.0,에코프로비엠,N,D1,18452004879709.68,29758063014783.83
028300,606,606,66644999590000.0,109975246848.1848,0.0,2.5041322314049586,ST,4875054961800.0,HLB,N,D1,8153072463516.129,26614009737260.727
000250,606,606,60704073267500.0,100171738065.18152,0.0,2.5041322314049586,ST,4682111411200.0,삼천당제약,N,D1,25078614794909.68,24241560611773.93
277810,606,606,59675396704000.0,98474251986.79868,0.0,2.5041322314049586,ST,8797835603000.0,레인보우로보틱스,N,D1,25218864609967.742,23830768980805.28
476830,127,127,11373612506500.0,89556003988.18898,0.0,0.5247933884297521,ST,465018851700.0,알지노믹스,N,D1,5629496262109.678,4541937667612.212
486990,151,151,13195392434000.0,87386704860.92715,0.0,0.6239669421487604,ST,408353379900.0,노타,N,D1,2874265304651.613,5269447143610.562
032820,572,572,48920785082000.0,85525848045.45454,0.0,2.363636363636364,ST,1923694135060.0,우리기술,N,D1,2472275365361.2905,19536023085551.156
466100,397,397,33134097610000.0,83461203047.85895,0.0,1.640495867768595,ST,686126491050.0,클로봇,N,D1,5936524854167.742,13231768352508.252
456160,211,211,17469069655000.0,82791799312.7962,0.0,0.871900826446281,ST,539624873700.0,지투지바이오,N,D1,7041844186619.355,6976097122953.796
080220,581,581,47746484328500.0,82179835333.04648,0.0,2.400826446280992,ST,3068856420300.0,제주반도체,N,D1,7539228370548.388,19067077900160.066
298380,593,593,47259382066500.0,79695416638.27994,0.0,2.450413223140496,ST,4579774473400.0,에이비엘바이오,N,D1,22382515434400.0,18872558515004.953
125490,209,209,16306089227000.0,78019565679.42584,0.0,0.8636363636363636,ST,311000039040.0,한라캐스트,N,D1,1430885682670.9678,6511672595600.66
108490,584,584,44582249987000.0,76339469155.82191,0.0,2.413223140495868,ST,3196104104000.0,로보티즈,N,D1,12534847674303.227,17803472767085.81
403870,606,606,45851457252500.0,75662470713.69637,0.0,2.5041322314049586,ST,3654120000000.0,HPSP,N,D1,3503524446329.032,18310317912714.523
141080,595,595,42651607574000.0,71683374073.94958,0.0,2.458677685950413,ST,4453435985400.0,리가켐바이오,N,D1,9749372200096.775,17032490153313.531
036930,591,591,42345855641000.0,71651193978.00339,0.0,2.4421487603305785,ST,8919727119900.0,주성엔지니어링,N,D1,2020530559406.4517,16910391196570.957
478340,129,129,8835486261000.0,68492141558.139534,0.0,0.5330578512396694,ST,141849830580.0,나라스페이스테크놀로지,N,D1,2256573026825.8066,3528362500267.327
098460,593,593,39214475980000.0,66128964553.11973,0.0,2.450413223140496,ST,1964281334400.0,고영,N,D1,6352918528851.613,15659906249438.945
348370,594,594,38775795874000.0,65279117632.99664,0.0,2.4545454545454546,ST,506143938300.0,엔켐,N,D1,5159729487425.807,15484723764864.688
087010,606,606,37949190491500.0,62622426553.63036,0.0,2.5041322314049586,ST,2602216260000.0,펩트론,N,D1,13317180349993.549,15154627225978.549
