decile,종목수,일평균거래대금_억,종목당_연간수시공시,종목당_연간애프터공시,거래대금100억당_수시공시,애프터공시_점유pct,정정비율_pct,종목당_시장조치,공시0건_종목pct
D1,169.0,340.906,20.592,11.773,0.025,9.793,16.61,3.669,0.0
D10,169.0,1.448,12.875,6.454,3.568,6.336,14.387,1.032,0.0
D2,168.0,101.164,19.303,10.88,0.08,10.217,18.681,2.82,0.0
D3,168.0,57.576,16.961,9.365,0.121,8.875,15.129,2.701,0.0
D4,168.0,34.594,18.444,11.014,0.217,10.698,20.081,2.769,0.0
D5,169.0,22.461,18.089,10.469,0.325,10.22,17.423,2.326,0.0
D6,168.0,15.155,21.094,13.486,0.55,12.467,23.897,2.716,0.0
D7,168.0,9.873,19.779,12.398,0.773,10.893,20.794,2.772,0.0
D8,168.0,6.372,20.515,12.584,1.279,11.806,22.511,3.099,0.0
D9,168.0,3.656,16.023,9.44,1.743,8.695,19.33,2.047,0.0
