code,listed,traded_days,amt_sum,amt_avg,no_trade_pct,years,group,mktcap,name,spac,decile,susi,susi_after,susi_corr,action,susi_yr,susi_after_yr,action_yr
196170,573,573,137859285137500.0,240592120658.8133,0.0,2.3677685950413223,ST,17361975132000.0,알테오젠,N,D1,59.0,19.0,4.0,14.0,24.917975567190226,8.024432809773124,5.912739965095986
086520,594,594,102826540454500.0,173108653963.80472,0.0,2.4545454545454546,ST,11649593841600.0,에코프로,N,D1,164.0,129.0,38.0,10.0,66.81481481481481,52.55555555555556,4.074074074074074
247540,606,606,74518124739500.0,122967202540.42905,0.0,2.5041322314049586,ST,11896180774400.0,에코프로비엠,N,D1,90.0,44.0,3.0,4.0,35.940594059405946,17.570957095709574,1.5973597359735974
028300,606,606,66644999590000.0,109975246848.1848,0.0,2.5041322314049586,ST,4875054961800.0,HLB,N,D1,92.0,54.0,6.0,7.0,36.73927392739274,21.564356435643564,2.7953795379537953
000250,606,606,60704073267500.0,100171738065.18152,0.0,2.5041322314049586,ST,4682111411200.0,삼천당제약,N,D1,57.0,30.0,9.0,24.0,22.762376237623762,11.98019801980198,9.584158415841584
277810,606,606,59675396704000.0,98474251986.79868,0.0,2.5041322314049586,ST,8797835603000.0,레인보우로보틱스,N,D1,36.0,16.0,12.0,9.0,14.376237623762377,6.3894389438943895,3.594059405940594
476830,127,127,11373612506500.0,89556003988.18898,0.0,0.5247933884297521,ST,465018851700.0,알지노믹스,N,D1,10.0,9.0,0.0,2.0,19.05511811023622,17.149606299212596,3.811023622047244
486990,151,151,13195392434000.0,87386704860.92715,0.0,0.6239669421487604,ST,408353379900.0,노타,N,D1,10.0,2.0,0.0,3.0,16.026490066225165,3.205298013245033,4.80794701986755
032820,572,572,48920785082000.0,85525848045.45454,0.0,2.363636363636364,ST,1923694135060.0,우리기술,N,D1,45.0,32.0,6.0,18.0,19.038461538461533,13.538461538461535,7.615384615384613
466100,397,397,33134097610000.0,83461203047.85895,0.0,1.640495867768595,ST,686126491050.0,클로봇,N,D1,33.0,23.0,10.0,6.0,20.115869017632242,14.02015113350126,3.6574307304785894
456160,211,211,17469069655000.0,82791799312.7962,0.0,0.871900826446281,ST,539624873700.0,지투지바이오,N,D1,23.0,15.0,4.0,3.0,26.37914691943128,17.203791469194314,3.440758293838863
080220,581,581,47746484328500.0,82179835333.04648,0.0,2.400826446280992,ST,3068856420300.0,제주반도체,N,D1,33.0,24.0,2.0,17.0,13.745266781411358,9.99655765920826,7.080895008605851
298380,593,593,47259382066500.0,79695416638.27994,0.0,2.450413223140496,ST,4579774473400.0,에이비엘바이오,N,D1,74.0,37.0,14.0,14.0,30.198988195615513,15.099494097807757,5.713322091062394
125490,209,209,16306089227000.0,78019565679.42584,0.0,0.8636363636363636,ST,311000039040.0,한라캐스트,N,D1,14.0,3.0,1.0,2.0,16.210526315789473,3.473684210526316,2.3157894736842106
108490,584,584,44582249987000.0,76339469155.82191,0.0,2.413223140495868,ST,3196104104000.0,로보티즈,N,D1,38.0,22.0,4.0,9.0,15.74657534246575,9.116438356164382,3.72945205479452
403870,606,606,45851457252500.0,75662470713.69637,0.0,2.5041322314049586,ST,3654120000000.0,HPSP,N,D1,54.0,34.0,5.0,7.0,21.564356435643564,13.577557755775578,2.7953795379537953
141080,595,595,42651607574000.0,71683374073.94958,0.0,2.458677685950413,ST,4453435985400.0,리가켐바이오,N,D1,55.0,27.0,2.0,6.0,22.369747899159666,10.981512605042017,2.4403361344537817
036930,591,591,42345855641000.0,71651193978.00339,0.0,2.4421487603305785,ST,8919727119900.0,주성엔지니어링,N,D1,56.0,28.0,6.0,7.0,22.93062605752961,11.465313028764806,2.8663282571912014
478340,129,129,8835486261000.0,68492141558.139534,0.0,0.5330578512396694,ST,141849830580.0,나라스페이스테크놀로지,N,D1,16.0,5.0,1.0,2.0,30.015503875968992,9.37984496124031,3.751937984496124
098460,593,593,39214475980000.0,66128964553.11973,0.0,2.450413223140496,ST,1964281334400.0,고영,N,D1,85.0,63.0,4.0,7.0,34.68802698145025,25.709949409780773,2.856661045531197
348370,594,594,38775795874000.0,65279117632.99664,0.0,2.4545454545454546,ST,506143938300.0,엔켐,N,D1,154.0,124.0,71.0,19.0,62.74074074074074,50.51851851851852,7.7407407407407405
087010,606,606,37949190491500.0,62622426553.63036,0.0,2.5041322314049586,ST,2602216260000.0,펩트론,N,D1,42.0,24.0,7.0,19.0,16.772277227722775,9.584158415841584,7.587458745874588
0009K0,138,138,8066512433500.0,58452988648.55073,0.0,0.5702479338842975,ST,1548874305950.0,에임드바이오,N,D1,20.0,8.0,1.0,0.0,35.072463768115945,14.028985507246377,0.0
010170,565,565,32344929989500.0,57247663698.23009,0.0,2.334710743801653,ST,1959119316000.0,대한광통신,N,D1,56.0,43.0,11.0,13.0,23.985840707964602,18.417699115044247,5.5681415929203535
491000,124,124,7060160591000.0,56936778959.67742,0.0,0.512396694214876,ST,1056435519750.0,리브스메드,N,D1,8.0,4.0,2.0,1.0,15.612903225806454,7.806451612903227,1.9516129032258067
347850,502,502,28483889256500.0,56740815251.99204,0.0,2.074380165289256,ST,3864110438700.0,디앤디파마텍,N,D1,40.0,8.0,1.0,8.0,19.282868525896415,3.856573705179283,3.856573705179283
089030,564,564,31528964871500.0,55902419984.92908,0.0,2.330578512396694,ST,1626655015500.0,테크윙,N,D1,54.0,19.0,4.0,19.0,23.170212765957448,8.152482269503547,8.152482269503547
490470,122,122,6672409022500.0,54691877233.60656,0.0,0.5041322314049587,ST,733248232000.0,세미파이브,N,D1,9.0,3.0,0.0,3.0,17.852459016393443,5.950819672131147,5.950819672131147
376900,248,248,13251711771500.0,53434321659.27419,0.0,1.024793388429752,ST,581774366850.0,로킷헬스케어,N,D1,16.0,2.0,2.0,9.0,15.612903225806454,1.9516129032258067,8.78225806451613
257720,593,593,29899327943500.0,50420451844.01349,0.0,2.450413223140496,ST,2465667075200.0,실리콘투,N,D1,65.0,29.0,8.0,4.0,26.526138279932546,11.834738617200674,1.632377740303541
058470,594,594,28001277548000.0,47140197892.25589,0.0,2.4545454545454546,ST,5624434530000.0,리노공업,N,D1,26.0,2.0,5.0,8.0,10.592592592592592,0.8148148148148148,3.259259259259259
0007C0,130,130,5875099643000.0,45193074176.92308,0.0,0.5371900826446281,ST,134668533480.0,아크릴,N,D1,9.0,3.0,0.0,0.0,16.753846153846155,5.584615384615384,0.0
0015G0,140,140,6282241310500.0,44873152217.85714,0.0,0.5785123966942148,ST,193208951910.0,그린광학,N,D1,7.0,3.0,0.0,4.0,12.100000000000001,5.185714285714286,6.914285714285715
232140,586,586,25912187110000.0,44218749334.47099,0.0,2.4214876033057853,ST,884448873000.0,와이씨,N,D1,39.0,11.0,9.0,15.0,16.10580204778157,4.5426621160409555,6.194539249146757
024060,586,586,25639518081000.0,43753443824.23208,0.0,2.4214876033057853,ST,162600000000.0,흥구석유,N,D1,22.0,7.0,0.0,7.0,9.085324232081911,2.8907849829351533,2.8907849829351533
090710,501,501,21901000743000.0,43714572341.31737,0.0,2.0702479338842976,ST,875172092280.0,휴림로봇,N,D1,67.0,57.0,28.0,10.0,32.36327345309381,27.532934131736525,4.830339321357285
214450,575,575,24554163343000.0,42702892770.434784,0.0,2.37603305785124,ST,3319492536000.0,파마리서치,N,D1,57.0,18.0,7.0,13.0,23.989565217391302,7.575652173913043,5.471304347826086
380550,226,226,9318680007500.0,41233097378.31858,0.0,0.9338842975206612,ST,113815419780.0,뉴로핏,N,D1,15.0,8.0,0.0,4.0,16.061946902654867,8.56637168141593,4.283185840707965
468530,213,213,8781423226500.0,41227339091.54929,0.0,0.8801652892561983,ST,292984772400.0,프로티나,N,D1,12.0,3.0,0.0,7.0,13.63380281690141,3.4084507042253525,7.953051643192489
065350,596,596,24385635759500.0,40915496240.77181,0.0,2.462809917355372,ST,810776466000.0,신성델타테크,N,D1,29.0,14.0,6.0,6.0,11.775167785234899,5.684563758389261,2.436241610738255
161580,596,596,24266497087000.0,40715599139.26174,0.0,2.462809917355372,ST,726709657000.0,필옵틱스,N,D1,34.0,17.0,10.0,7.0,13.805369127516776,6.902684563758388,2.8422818791946307
226950,570,570,22797486652000.0,39995590617.54386,0.0,2.355371900826446,ST,2503729905600.0,올릭스,N,D1,58.0,37.0,5.0,18.0,24.62456140350877,15.708771929824563,7.642105263157895
067310,595,595,23688617299000.0,39812802183.19328,0.0,2.458677685950413,ST,2642596933500.0,하나마이크론,N,D1,68.0,52.0,12.0,4.0,27.65714285714286,21.149579831932773,1.626890756302521
083650,595,595,22242648588500.0,37382602669.7479,0.0,2.458677685950413,ST,1496160531250.0,비에이치아이,N,D1,105.0,60.0,45.0,8.0,42.70588235294118,24.403361344537817,3.253781512605042
030530,559,559,20712487037500.0,37052749619.85689,0.0,2.309917355371901,ST,1451301662990.0,원익홀딩스,N,D1,77.0,67.0,33.0,17.0,33.334525939177105,29.00536672629696,7.359570661896243
039030,596,596,21417041833000.0,35934633947.98658,0.0,2.462809917355372,ST,4662949675000.0,이오테크닉스,N,D1,20.0,11.0,1.0,10.0,8.120805369127517,4.466442953020134,4.060402684563758
178320,601,601,21440868439500.0,35675321862.72878,0.0,2.4834710743801653,ST,3013862396950.0,서진시스템,N,D1,100.0,70.0,35.0,7.0,40.26622296173045,28.186356073211314,2.818635607321131
240810,585,585,20527519394000.0,35089776741.88034,0.0,2.4173553719008263,ST,6135487625000.0,원익IPS,N,D1,36.0,19.0,0.0,7.0,14.892307692307693,7.85982905982906,2.895726495726496
476060,358,358,12543041164500.0,35036427833.79888,0.0,1.4793388429752066,ST,531271728000.0,온코닉테라퓨틱스,N,D1,50.0,20.0,6.0,7.0,33.798882681564244,13.5195530726257,4.731843575418995
319400,541,541,18206918453000.0,33654193073.937157,0.0,2.2355371900826446,ST,2589492906750.0,현대무벡스,N,D1,44.0,29.0,15.0,11.0,19.682070240295747,12.972273567467653,4.920517560073937
035900,606,606,20122140288500.0,33204851961.221123,0.0,2.5041322314049586,ST,1801497344400.0,JYP Ent.,N,D1,47.0,39.0,4.0,2.0,18.768976897689768,15.574257425742575,0.7986798679867987
488900,132,132,4275725186500.0,32391857473.484848,0.0,0.5454545454545454,ST,232391072860.0,비츠로넥스텍,N,D1,9.0,6.0,0.0,3.0,16.5,11.0,5.5
033100,606,606,19161775202000.0,31620091092.40924,0.0,2.5041322314049586,ST,726020886800.0,제룡전기,N,D1,35.0,6.0,9.0,12.0,13.976897689768977,2.396039603960396,4.792079207920792
066790,197,197,6211856414000.0,31532266060.913704,0.0,0.8140495867768595,ST,97271994227.0,씨씨에스,N,D1,117.0,95.0,36.0,14.0,143.7258883248731,116.70050761421321,17.19796954314721
328130,605,605,18965548635000.0,31348014272.727272,0.0,2.5,ST,807126671200.0,루닛,N,D1,48.0,38.0,7.0,7.0,19.2,15.2,2.8
388210,148,148,4587370499500.0,30995746618.243244,0.0,0.6115702479338843,ST,820627230000.0,씨엠티엑스,N,D1,14.0,9.0,1.0,0.0,22.891891891891895,14.716216216216218,0.0
005290,606,606,18063214335000.0,29807284381.18812,0.0,2.5041322314049586,ST,2403241440900.0,동진쎄미켐,N,D1,51.0,20.0,2.0,1.0,20.366336633663366,7.986798679867987,0.39933993399339934
417200,601,601,17813045393500.0,29639010638.10316,0.0,2.4834710743801653,ST,857159189530.0,LS머트리얼즈,N,D1,27.0,16.0,5.0,5.0,10.87188019966722,6.4425956738768715,2.0133111480865225
100790,585,585,17014219155500.0,29084135308.54701,0.0,2.4173553719008263,ST,884457623700.0,미래에셋벤처투자,N,D1,21.0,20.0,3.0,10.0,8.687179487179488,8.273504273504274,4.136752136752137
098070,312,312,9027008497500.0,28932719543.26923,0.0,1.2892561983471074,ST,269687669250.0,한텍,N,D1,24.0,9.0,8.0,5.0,18.615384615384617,6.980769230769231,3.8782051282051286
475830,325,325,9380931824500.0,28864405613.846157,0.0,1.3429752066115703,ST,1057744033000.0,오름테라퓨틱,N,D1,34.0,19.0,7.0,4.0,25.316923076923075,14.147692307692306,2.9784615384615383
222800,596,596,17017495904500.0,28552845477.34899,0.0,2.462809917355372,ST,4596824333700.0,심텍,N,D1,73.0,55.0,4.0,4.0,29.640939597315434,22.33221476510067,1.6241610738255032
234030,240,240,6844088100500.0,28517033752.08333,0.0,0.9917355371900828,ST,80493050000.0,싸이닉솔루션,N,D1,6.0,5.0,0.0,1.0,6.049999999999999,5.041666666666666,1.008333333333333
448900,263,263,7358215441000.0,27978005479.08745,0.0,1.0867768595041325,ST,311012198400.0,한국피아이엠,N,D1,6.0,3.0,0.0,19.0,5.520912547528516,2.760456273764258,17.4828897338403
058610,595,595,16579829969000.0,27865260452.10084,0.0,2.458677685950413,ST,1641124640000.0,에스피지,N,D1,43.0,2.0,1.0,6.0,17.489075630252103,0.8134453781512605,2.4403361344537817
064260,586,586,16028666859000.0,27352673820.81911,0.0,2.4214876033057853,ST,330570647090.0,다날,N,D1,72.0,54.0,25.0,8.0,29.733788395904433,22.300341296928327,3.303754266211604
027360,606,606,16439191783000.0,27127379179.86799,0.0,2.5041322314049586,ST,488215986180.0,아주IB투자,N,D1,26.0,17.0,0.0,11.0,10.382838283828383,6.788778877887789,4.392739273927393
