head,종목수,순위,연KRX거래대금_조,연NXT거래대금_조,NXT거래종목,연애프터공시,필요수수료율_bp,필요수수료율_pct
1,70,1~70,732.9986,414.3673,62,739.5776,0.0024,0.0
2,70,71~140,266.3232,105.0044,62,543.1023,0.0095,0.0001
3,70,141~210,195.2899,91.3969,59,690.8581,0.0109,0.0001
4,70,211~280,154.3411,60.4332,58,703.2376,0.0165,0.0002
5,70,281~350,123.7807,34.0743,40,618.5776,0.0293,0.0003
6,70,351~420,98.8235,24.814,46,623.3696,0.0403,0.0004
7,70,421~490,78.683,20.4785,37,589.8251,0.0488,0.0005
8,70,491~560,65.879,11.2249,29,694.4521,0.0891,0.0009
9,70,561~630,53.2024,6.8904,26,664.1023,0.1451,0.0015
10,70,631~700,44.4535,4.0014,20,688.462,0.2499,0.0025
11,70,701~770,38.3272,4.1482,25,675.6832,0.2411,0.0024
12,70,771~840,31.8578,3.1209,24,725.2013,0.3204,0.0032
13,70,841~910,26.4137,1.8501,19,832.2244,0.5405,0.0054
14,70,911~980,22.6875,0.9459,14,759.1452,1.0572,0.0106
15,70,"981~1,050",19.0561,0.9263,7,878.9472,1.0796,0.0108
16,70,"1,051~1,120",15.7191,0.498,7,697.6469,2.0081,0.0201
17,70,"1,121~1,190",13.036,0.2368,5,793.4884,4.2223,0.0422
18,70,"1,191~1,260",11.2251,0.6274,6,737.9802,1.5938,0.0159
19,70,"1,261~1,330",9.0218,0.0,0,798.2805,inf,inf
20,70,"1,331~1,400",7.1363,0.2733,2,650.1254,3.6596,0.0366
21,70,"1,401~1,470",5.7014,0.0292,1,565.066,34.2865,0.3429
22,70,"1,471~1,540",4.3224,0.0298,1,507.5611,33.5486,0.3355
23,70,"1,541~1,610",2.988,0.0,0,438.0759,inf,inf
24,70,"1,611~1,680",1.2887,0.0,0,384.9637,inf,inf
25,3,"1,681~1,683",0.019,0.0,0,9.5842,inf,inf
