기준,제외종목,잔존종목,포기_NXT거래대금_pct,포기_KRX거래대금_pct,절감_애프터공시_pct,필요담당자,절감인건비_억,제외종목_Amihud중앙
없음 (거래소 안),0,1683,0.0,0.0,0.0,25.0,0.0,
C1  일평균 거래대금 < 1억,57,1626,0.0,0.044,1.871,24.0,1.0,2.22
C1  일평균 거래대금 < 3억,197,1486,0.004,0.368,7.763,22.0,3.0,1.549
C1  일평균 거래대금 < 5억,351,1332,0.042,1.049,15.804,20.0,5.0,1.222
C1  일평균 거래대금 < 10억,597,1086,0.194,3.057,32.153,16.0,9.0,0.851
C2  무거래일 > 20%,0,1683,0.0,0.0,0.0,25.0,0.0,
C3  거래대금 하위 30%,505,1178,0.132,2.174,26.837,17.0,8.0,0.95
C3  거래대금 하위 50%,842,841,0.688,6.832,50.257,13.0,12.0,0.652
C4  시가총액 < 500억,591,1092,0.339,9.006,33.819,16.0,9.0,0.761
C5  관리·환기·불성실 지정,327,1356,16.358,16.329,29.469,20.0,5.0,0.452
C6  C1(<3억) OR C5,485,1198,16.362,16.625,35.662,18.0,7.0,0.757
C7  Amihud 상위 30%,505,1178,0.011,3.373,28.925,17.0,8.0,1.008
참고: NXT 무거래 종목,1133,550,0.0,24.048,66.286,8.0,17.0,0.489
