decile,종목수,Amihud_중앙,일중변동폭_pct,일간변동성_pct,극단15pct_일비율,충격_5천만원_pct,충격_1억원_pct
D1,169,0.0269,6.4213,5.2284,2.1488,0.0134,0.0269
D10,169,1.645,3.4687,2.1983,0.1653,0.8225,1.645
D2,168,0.0687,5.868,4.6415,1.4727,0.0343,0.0687
D3,168,0.1231,5.6026,4.3263,1.3223,0.0615,0.1231
D4,168,0.1849,5.3919,4.0153,1.0972,0.0925,0.1849
D5,169,0.2541,5.0125,3.6774,0.8264,0.1271,0.2541
D6,168,0.3678,4.9403,3.751,0.8264,0.1839,0.3678
D7,168,0.4969,4.6289,3.4294,0.7209,0.2485,0.4969
D8,168,0.5956,4.4322,3.1487,0.5257,0.2978,0.5956
D9,168,0.9688,4.2201,2.9333,0.3306,0.4844,0.9688
