code,amihud,intraday,ext15,vol,decile,충격_5천만원_pct,충격_1억원_pct
000250,0.0045,6.9121,2.9752,5.697,D1,0.0022,0.0045
000440,0.1695,5.0183,2.1488,4.8428,D3,0.0848,0.1695
0007C0,0.0317,10.9861,6.2016,8.4687,D1,0.0158,0.0317
0008Z0,0.0721,5.8547,0.9569,4.4668,D2,0.0361,0.0721
0009K0,0.0178,7.9714,6.5693,7.0585,D1,0.0089,0.0178
001000,1.03,5.6482,1.157,4.0216,D8,0.515,1.03
0010V0,0.2757,5.7004,0.0,3.5742,D3,0.1378,0.2757
0013V0,0.1563,7.4127,1.6,5.016,D2,0.0782,0.1563
001540,0.3653,2.657,0.1653,2.1339,D8,0.1827,0.3653
0015G0,0.0275,10.5737,4.6667,7.4493,D1,0.0137,0.0275
0015N0,0.0768,8.1921,2.8169,5.6864,D1,0.0384,0.0768
0015S0,0.0872,8.6815,3.0075,6.4137,D1,0.0436,0.0872
001810,2.2974,3.1465,0.3306,2.4172,D10,1.1487,2.2974
001840,0.6822,4.9244,2.9801,4.9897,D6,0.3411,0.6822
002230,0.8637,3.6242,0.6612,3.2558,D7,0.4318,0.8637
002290,0.5114,2.9283,0.0,2.0344,D9,0.2557,0.5114
002680,1.5417,4.6235,0.67,3.3417,D9,0.7709,1.5417
002800,0.1891,3.9197,0.6612,3.0964,D4,0.0946,0.1891
003100,0.308,2.3768,0.1653,1.8351,D9,0.154,0.308
003310,0.1487,4.3003,1.6529,4.0582,D3,0.0744,0.1487
003380,0.0493,3.9342,0.6612,3.5118,D2,0.0246,0.0493
003800,0.652,2.3696,0.0,1.5353,D10,0.326,0.652
004590,0.4902,2.8982,0.3306,2.1989,D9,0.2451,0.4902
004650,0.3369,1.9958,0.1653,1.4895,D7,0.1685,0.3369
004780,0.7292,1.7425,0.0,1.0854,D10,0.3646,0.7292
005160,0.2556,4.6156,0.4959,3.2968,D5,0.1278,0.2556
005290,0.0098,4.5762,0.3306,3.665,D1,0.0049,0.0098
005670,0.6726,3.3723,0.4959,2.6943,D8,0.3363,0.6726
005710,0.5461,3.5175,0.1653,2.532,D9,0.2731,0.5461
005860,0.0724,3.751,0.6612,2.896,D3,0.0362,0.0724
005990,1.0724,2.3468,0.0,1.4682,D10,0.5362,1.0724
006050,0.3055,4.2155,1.3223,3.8699,D6,0.1527,0.3055
006140,0.5279,3.8451,0.3306,2.926,D6,0.2639,0.5279
006620,0.164,3.7704,0.3306,2.8575,D4,0.082,0.164
006730,0.0597,3.7387,0.3306,2.9588,D3,0.0299,0.0597
006910,0.0389,5.5597,1.6529,4.4939,D1,0.0195,0.0389
006920,0.5557,5.3938,2.4793,4.9687,D4,0.2778,0.5557
007330,0.2351,3.2084,0.5217,2.4223,D5,0.1176,0.2351
007370,0.3094,3.09,0.3306,2.7274,D6,0.1547,0.3094
007390,0.0239,5.8438,3.1405,5.6941,D1,0.0119,0.0239
007530,2.5836,3.8179,0.0,2.2151,D10,1.2918,2.5836
007680,3.0714,4.0249,0.1653,2.4344,D10,1.5357,3.0714
007720,0.641,5.057,1.0084,3.6848,D6,0.3205,0.641
007770,1.5014,3.0133,0.0,1.5819,D10,0.7507,1.5014
007820,0.2787,4.767,0.8264,3.6759,D5,0.1393,0.2787
008290,3.5665,5.5523,1.0152,3.8976,D10,1.7832,3.5665
008370,1.0169,2.334,0.0,1.5287,D10,0.5084,1.0169
008470,2.4674,2.2259,0.0,1.3355,D10,1.2337,2.4674
008830,0.0627,5.8173,2.314,4.8621,D1,0.0314,0.0627
009300,0.333,2.9388,0.4959,2.4806,D7,0.1665,0.333
