공시일,시각,애프터,종목코드,종목명,decile,관리부담,사유성격,정지사유,동반공시,정지공시_원문
20240102,10:19:24,,079370,제우스,D2,뉴스형(즉시조치),자본·조직변동,무상증자,(주)제우스 무상증자결정,(주)제우스 주권매매거래정지(무상증자)
20240102,16:27:24,Y,377400,(상장폐지),(유니버스 밖),집행형(부담 낮음),자본·조직변동,SPAC 소멸합병,,하이제6호기업인수목적 주식회사 주권매매거래정지(SPAC 소멸합병)
20240102,17:52:28,Y,094860,네오리진,D9,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)네오리진 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240104,13:13:19,,358570,지아이이노베이션,D2,뉴스형(즉시조치),자본·조직변동,무상증자,(주)지아이이노베이션 무상증자결정,(주)지아이이노베이션 주권매매거래정지(무상증자)
20240104,15:18:28,,017000,신원종합개발,D8,뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,신원종합개발(주) 조회공시요구(풍문또는보도)(채권자에 의한 파산신청설),신원종합개발(주) 주권매매거래정지(풍문 또는 보도 관련)
20240108,16:57:23,Y,013310,아진산업,D5,뉴스형(즉시조치),부실·위험,상장적격성 실질심사 대상 (사유발생,아진산업(주) 횡령ㆍ배임혐의발생,아진산업(주) 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20240109,16:22:58,Y,427950,(상장폐지),(유니버스 밖),집행형(부담 낮음),자본·조직변동,SPAC 소멸합병,,하나금융23호기업인수목적 주식회사 주권매매거래정지(SPAC 소멸합병)
20240110,18:24:41,Y,380320,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,상장폐지 사유발생,삼성머스트기업인수목적5호 주식회사 상장폐지,삼성머스트기업인수목적5호 주식회사 주권매매거래정지(상장폐지 사유발생)
20240116,16:54:52,Y,426550,(상장폐지),(유니버스 밖),집행형(부담 낮음),자본·조직변동,SPAC 소멸합병,,아이비케이에스제19호기업인수목적 주식회사 주권매매거래정지(SPAC 소멸합병)
20240116,16:55:08,Y,089230,THE E&M,D8,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"더이앤엠(주) 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240117,15:37:31,,430230,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,하나금융24호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),하나금융24호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20240117,17:17:06,Y,372290,(상장폐지),(유니버스 밖),집행형(부담 낮음),자본·조직변동,SPAC 소멸합병,,하나머스트7호기업인수목적 주식회사 주권매매거래정지(SPAC 소멸합병)
20240119,16:11:13,Y,016670,디모아,D9,뉴스형(즉시조치),자본·조직변동,자본감소,(주)디모아 감자결정,(주)디모아 주권매매거래정지(자본감소)
20240119,17:49:11,Y,096610,알에프세미,(유니버스 밖),뉴스형(즉시조치),부실·위험,상장적격성 실질심사 대상 (사유발생,주식회사알에프세미 기타시장안내(상장적격성 실질심사 관련 안내),주식회사알에프세미 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20240119,17:49:42,Y,208340,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,상장적격성 실질심사 대상(사유발생,(주)파멥신 불성실공시법인지정(공시번복),(주)파멥신 주권매매거래정지(상장적격성 실질심사 대상(사유발생))
20240124,14:29:24,,149980,하이로닉,D4,뉴스형(즉시조치),자본·조직변동,무상증자,(주)하이로닉 무상증자결정,(주)하이로닉 주권매매거래정지(무상증자)
20240124,17:00:15,Y,078590,휴림에이텍,D6,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)휴림에이텍 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240124,17:16:57,Y,192410,오늘이엔엠,D6,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"휴림네트웍스(주) 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240124,18:16:40,Y,033540,파라텍,D6,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"주식회사 파라텍 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240125,14:56:28,,148140,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,투자자 보호,비디아이(주) 기타시장안내(정리매매 보류 관련),비디아이(주) 주권매매거래정지(투자자 보호)
20240130,11:17:13,,457630,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,대신밸런스제16호기업인수목적(주) 회사합병 결정(SPAC 소멸합병),대신밸런스제16호기업인수목적(주) 주권매매거래정지(SPAC 합병(예비심사청구대상))
20240130,15:42:31,Y,436610,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,한국제11호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),한국제11호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20240130,15:46:14,Y,373200,엑스플러스,D5,뉴스형(즉시조치),자본·조직변동,무상증자,하인크코리아(주) 무상증자결정,하인크코리아(주) 주권매매거래정지(무상증자)
20240131,18:09:06,Y,090710,휴림로봇,D1,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"휴림로봇(주) 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240202,16:47:24,Y,052020,에스티큐브,(유니버스 밖),뉴스형(즉시조치),부실·위험,관리종목지정우려,(주)에스티큐브 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)에스티큐브 주권매매거래정지(관리종목지정우려)
20240205,17:46:59,Y,115960,(상장폐지),(유니버스 밖),집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)연우 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240207,16:04:17,Y,406760,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,하나금융21호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),하나금융21호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20240213,10:51:16,,399720,가온칩스,D1,뉴스형(즉시조치),대형계약,단일판매공급계약,(주)가온칩스 단일판매ㆍ공급계약체결,(주)가온칩스 주권매매거래정지(단일판매공급계약)
20240213,14:44:15,,023790,동일스틸럭스,D5,뉴스형(즉시조치),부실·위험,관리종목지정우려,동일철강(주) 기타시장안내(관리종목 지정우려종목),동일철강(주) 주권매매거래정지(관리종목지정우려)
20240214,11:12:12,,314930,바이오다인,D3,뉴스형(즉시조치),자본·조직변동,무상증자,주식회사 바이오다인 무상증자결정,주식회사 바이오다인 주권매매거래정지(무상증자)
20240214,14:31:18,,114840,아이패밀리에스씨,D4,뉴스형(즉시조치),자본·조직변동,무상증자,(주)아이패밀리에스씨 무상증자결정,(주)아이패밀리에스씨 주권매매거래정지(무상증자)
20240214,15:51:13,Y,222160,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,상장적격성 실질심사 대상 (사유발생,,(주)엔피엑스 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20240214,17:04:18,Y,203690,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,관리종목지정우려,(주)스피어파워 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)스피어파워 주권매매거래정지(관리종목지정우려)
20240215,17:54:13,Y,230980,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,관리종목지정우려,(주)비유테크놀러지 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)비유테크놀러지 주권매매거래정지(관리종목지정우려)
20240216,16:56:16,Y,065650,하이퍼코퍼레이션,D7,뉴스형(즉시조치),자본·조직변동,영업양수도,(주)메디프론디비티 영업양도 결정,(주)메디프론디비티 주권매매거래정지(영업양수도)
20240219,17:08:18,Y,033790,피노,D3,뉴스형(즉시조치),부실·위험,중요한 영업정지,(주)스카이문스테크놀로지 영업정지,(주)스카이문스테크놀로지 주권매매거래정지(중요한 영업정지)
20240220,19:55:37,Y,305090,마이크로디지탈,D5,뉴스형(즉시조치),부실·위험,불성실공시법인 지정,(주)마이크로디지탈 불성실공시법인지정(공시변경 2건),(주)마이크로디지탈 주권매매거래정지(불성실공시법인 지정)
20240221,10:19:10,,357230,에이치피오,D9,뉴스형(즉시조치),자본·조직변동,무상증자,주식회사 에이치피오 무상증자결정,주식회사 에이치피오 주권매매거래정지(무상증자)
20240221,15:39:16,,391060,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,"SPAC 합병결정 이후 취소,부인사실 발생",엔에이치기업인수목적20호(주) (정정)회사합병 결정(SPAC 소멸합병-철회),"엔에이치기업인수목적20호(주) 주권매매거래정지(SPAC 합병결정 이후 취소,부인사실 발생)"
20240227,15:02:16,,294140,레몬,D6,뉴스형(즉시조치),자본·조직변동,자본감소,(주)레몬 주주총회소집결의,(주)레몬 주권매매거래정지(자본감소)
20240227,16:30:57,Y,397880,(상장폐지),(유니버스 밖),집행형(부담 낮음),자본·조직변동,SPAC 소멸합병,,교보11호기업인수목적 주식회사 주권매매거래정지(SPAC 소멸합병)
20240228,17:47:11,Y,377220,프롬바이오,D5,뉴스형(즉시조치),자본·조직변동,무상증자,주식회사 프롬바이오 무상증자결정,주식회사 프롬바이오 주권매매거래정지(무상증자)
20240229,17:26:20,Y,016790,현대사료,(유니버스 밖),뉴스형(즉시조치),부실·위험,투자자 보호,(주)카나리아바이오 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)카나리아바이오 주권매매거래정지(투자자 보호)
20240229,17:44:13,Y,258830,세종메디칼,(유니버스 밖),뉴스형(즉시조치),부실·위험,관리종목지정우려,(주)세종메디칼 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)세종메디칼 주권매매거래정지(관리종목지정우려)
20240229,17:58:39,Y,136510,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,투자자보호,(주)스마트솔루션즈 (정정)상장폐지,(주)스마트솔루션즈 주권매매거래정지(투자자보호)
20240306,16:32:42,Y,196490,디에이테크놀로지,(유니버스 밖),집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)디에이테크놀로지 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240311,17:45:24,Y,104480,티케이케미칼,D6,뉴스형(즉시조치),부실·위험,중요한 영업정지,(주)티케이케미칼 영업정지,(주)티케이케미칼 주권매매거래정지(중요한 영업정지)
20240311,18:17:21,Y,067390,아스트,D7,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)아스트 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
