공시일,종목코드,종목명,사유성격,정지사유,시차_분,동반공시_원문,동반공시_유형,정지공시_원문
20240102,079370,제우스,자본·조직변동,무상증자,0,(주)제우스 무상증자결정,무상증자결정,(주)제우스 주권매매거래정지(무상증자)
20240104,017000,신원종합개발,부실·위험,풍문 또는 보도 관련,0,신원종합개발(주) 조회공시요구(풍문또는보도)(채권자에 의한 파산신청설),조회공시요구,신원종합개발(주) 주권매매거래정지(풍문 또는 보도 관련)
20240104,358570,지아이이노베이션,자본·조직변동,무상증자,0,(주)지아이이노베이션 무상증자결정,무상증자결정,(주)지아이이노베이션 주권매매거래정지(무상증자)
20240108,013310,아진산업,부실·위험,상장적격성 실질심사 대상 (사유발생,0,아진산업(주) 횡령ㆍ배임혐의발생,횡령ㆍ배임혐의발생,아진산업(주) 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20240110,380320,(상장폐지),부실·위험,상장폐지 사유발생,0,삼성머스트기업인수목적5호 주식회사 상장폐지,상장폐지,삼성머스트기업인수목적5호 주식회사 주권매매거래정지(상장폐지 사유발생)
20240110,380320,(상장폐지),부실·위험,상장폐지 사유발생,0,삼성머스트기업인수목적5호 주식회사 관리종목지정사유추가(상장폐지사유 발생),관리종목지정사유추가,삼성머스트기업인수목적5호 주식회사 주권매매거래정지(상장폐지 사유발생)
20240117,430230,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,하나금융24호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),회사합병 결정,하나금융24호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20240119,016670,디모아,자본·조직변동,자본감소,0,(주)디모아 감자결정,감자결정,(주)디모아 주권매매거래정지(자본감소)
20240119,096610,알에프세미,부실·위험,상장적격성 실질심사 대상 (사유발생,0,주식회사알에프세미 기타시장안내(상장적격성 실질심사 관련 안내),기타시장안내,주식회사알에프세미 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20240119,096610,알에프세미,부실·위험,상장적격성 실질심사 대상 (사유발생,0,"주식회사알에프세미 불성실공시법인지정(공시불이행 1건, 공시번복 2건)",불성실공시법인지정,주식회사알에프세미 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20240119,208340,(상장폐지),부실·위험,상장적격성 실질심사 대상(사유발생,0,(주)파멥신 불성실공시법인지정(공시번복),불성실공시법인지정,(주)파멥신 주권매매거래정지(상장적격성 실질심사 대상(사유발생))
20240119,208340,(상장폐지),부실·위험,상장적격성 실질심사 대상(사유발생,0,(주)파멥신 기타시장안내((주)파멥신 상장적격성 실질심사관련 안내),기타시장안내,(주)파멥신 주권매매거래정지(상장적격성 실질심사 대상(사유발생))
20240124,149980,하이로닉,자본·조직변동,무상증자,0,(주)하이로닉 무상증자결정,무상증자결정,(주)하이로닉 주권매매거래정지(무상증자)
20240125,148140,(상장폐지),부실·위험,투자자 보호,0,비디아이(주) 기타시장안내(정리매매 보류 관련),기타시장안내,비디아이(주) 주권매매거래정지(투자자 보호)
20240125,148140,(상장폐지),부실·위험,투자자 보호,0,비디아이(주) (정정)상장폐지,(정정)상장폐지,비디아이(주) 주권매매거래정지(투자자 보호)
20240130,373200,엑스플러스,자본·조직변동,무상증자,0,하인크코리아(주) 무상증자결정,무상증자결정,하인크코리아(주) 주권매매거래정지(무상증자)
20240130,436610,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,한국제11호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),회사합병 결정,한국제11호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20240130,457630,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,대신밸런스제16호기업인수목적(주) 회사합병 결정(SPAC 소멸합병),회사합병 결정,대신밸런스제16호기업인수목적(주) 주권매매거래정지(SPAC 합병(예비심사청구대상))
20240202,052020,에스티큐브,부실·위험,관리종목지정우려,0,(주)에스티큐브 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)에스티큐브 주권매매거래정지(관리종목지정우려)
20240207,406760,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,1,하나금융21호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),회사합병 결정,하나금융21호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20240213,023790,동일스틸럭스,부실·위험,관리종목지정우려,0,동일철강(주) 기타시장안내(관리종목 지정우려종목),기타시장안내,동일철강(주) 주권매매거래정지(관리종목지정우려)
20240213,023790,동일스틸럭스,부실·위험,관리종목지정우려,0,동일철강(주) 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,동일철강(주) 주권매매거래정지(관리종목지정우려)
20240213,399720,가온칩스,대형계약,단일판매공급계약,0,(주)가온칩스 단일판매ㆍ공급계약체결,단일판매ㆍ공급계약체결,(주)가온칩스 주권매매거래정지(단일판매공급계약)
20240214,114840,아이패밀리에스씨,자본·조직변동,무상증자,0,(주)아이패밀리에스씨 무상증자결정,무상증자결정,(주)아이패밀리에스씨 주권매매거래정지(무상증자)
20240214,203690,(상장폐지),부실·위험,관리종목지정우려,0,(주)스피어파워 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,파워 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)스피어파워 주권매매거래정지(관리종목지정우려)
20240214,314930,바이오다인,자본·조직변동,무상증자,0,주식회사 바이오다인 무상증자결정,무상증자결정,주식회사 바이오다인 주권매매거래정지(무상증자)
20240215,230980,(상장폐지),부실·위험,관리종목지정우려,1,(주)비유테크놀러지 기타시장안내(관리종목지정우려종목),기타시장안내,(주)비유테크놀러지 주권매매거래정지(관리종목지정우려)
20240215,230980,(상장폐지),부실·위험,관리종목지정우려,0,(주)비유테크놀러지 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)비유테크놀러지 주권매매거래정지(관리종목지정우려)
20240216,065650,하이퍼코퍼레이션,자본·조직변동,영업양수도,0,(주)메디프론디비티 영업양도 결정,영업양도 결정,(주)메디프론디비티 주권매매거래정지(영업양수도)
20240219,033790,피노,부실·위험,중요한 영업정지,0,(주)스카이문스테크놀로지 영업정지,영업정지,(주)스카이문스테크놀로지 주권매매거래정지(중요한 영업정지)
20240220,305090,마이크로디지탈,부실·위험,불성실공시법인 지정,0,(주)마이크로디지탈 불성실공시법인지정(공시변경 2건),불성실공시법인지정,(주)마이크로디지탈 주권매매거래정지(불성실공시법인 지정)
20240221,357230,에이치피오,자본·조직변동,무상증자,0,주식회사 에이치피오 무상증자결정,무상증자결정,주식회사 에이치피오 주권매매거래정지(무상증자)
20240221,391060,(상장폐지),자본·조직변동,"SPAC 합병결정 이후 취소,부인사실 발생",0,엔에이치기업인수목적20호(주) (정정)회사합병 결정(SPAC 소멸합병-철회),(정정)회사합병 결정(SPAC 소멸합병-철회),"엔에이치기업인수목적20호(주) 주권매매거래정지(SPAC 합병결정 이후 취소,부인사실 발생)"
20240221,391060,(상장폐지),자본·조직변동,"SPAC 합병결정 이후 취소,부인사실 발생",0,엔에이치기업인수목적20호(주) 기업인수목적회사관련합병취소ㆍ부인사실발생,기업인수목적회사관련합병취소ㆍ부인사실발생,"엔에이치기업인수목적20호(주) 주권매매거래정지(SPAC 합병결정 이후 취소,부인사실 발생)"
20240227,294140,레몬,자본·조직변동,자본감소,0,(주)레몬 주주총회소집결의,주주총회소집결의,(주)레몬 주권매매거래정지(자본감소)
20240227,294140,레몬,자본·조직변동,자본감소,0,(주)레몬 감자결정,감자결정,(주)레몬 주권매매거래정지(자본감소)
20240228,377220,프롬바이오,자본·조직변동,무상증자,0,주식회사 프롬바이오 무상증자결정,무상증자결정,주식회사 프롬바이오 주권매매거래정지(무상증자)
20240229,016790,현대사료,부실·위험,투자자 보호,1,(주)카나리아바이오 기타시장안내(상장폐지사유 발생 우려 및 관리종목 지정 우려 안내),기타시장안내,(주)카나리아바이오 주권매매거래정지(투자자 보호)
20240229,016790,현대사료,부실·위험,투자자 보호,0,(주)카나리아바이오 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)카나리아바이오 주권매매거래정지(투자자 보호)
20240229,136510,(상장폐지),부실·위험,투자자보호,1,(주)스마트솔루션즈 (정정)상장폐지,(정정)상장폐지,(주)스마트솔루션즈 주권매매거래정지(투자자보호)
20240229,258830,세종메디칼,부실·위험,관리종목지정우려,0,(주)세종메디칼 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)세종메디칼 주권매매거래정지(관리종목지정우려)
20240311,104480,티케이케미칼,부실·위험,중요한 영업정지,1,(주)티케이케미칼 주주총회소집결의,주주총회소집결의,(주)티케이케미칼 주권매매거래정지(중요한 영업정지)
20240311,104480,티케이케미칼,부실·위험,중요한 영업정지,0,(주)티케이케미칼 영업정지,영업정지,(주)티케이케미칼 주권매매거래정지(중요한 영업정지)
20240312,016670,디모아,자본·조직변동,자본감소,0,(주)디모아 감자결정,감자결정,(주)디모아 주권매매거래정지(자본감소)
