burden,nature,reason,정지,종목,애프터
뉴스형(즉시조치),대형계약,단일판매공급계약,32,20,12
뉴스형(즉시조치),부실·위험,투자자 보호,57,55,36
뉴스형(즉시조치),부실·위험,상장폐지 사유발생,48,48,45
뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,48,46,27
뉴스형(즉시조치),부실·위험,상장적격성 실질심사 대상 (사유발생,28,28,21
뉴스형(즉시조치),부실·위험,관리종목지정우려,25,25,21
뉴스형(즉시조치),부실·위험,불성실공시법인 지정,21,21,21
뉴스형(즉시조치),부실·위험,관리종목지정사유발생,18,18,12
뉴스형(즉시조치),부실·위험,중요한 영업정지,18,17,15
뉴스형(즉시조치),부실·위험,투자자보호,8,8,6
뉴스형(즉시조치),부실·위험,상장적격성 실질심사 대상(사유발생,7,7,4
뉴스형(즉시조치),부실·위험,상장폐지사유 발생,5,5,5
뉴스형(즉시조치),부실·위험,회계처리 기준위반,3,3,2
뉴스형(즉시조치),부실·위험,자진상장폐지 신청,2,2,1
뉴스형(즉시조치),부실·위험,회생절차개시신청,2,2,2
뉴스형(즉시조치),부실·위험,사업보고서 미제출,1,1,1
뉴스형(즉시조치),부실·위험,상장심사 제출서류 중요사항 거짓 기재 관련 보도,1,1,1
뉴스형(즉시조치),부실·위험,상장페지 사유발생,1,1,1
뉴스형(즉시조치),부실·위험,상장폐지 사유 발생,1,1,1
뉴스형(즉시조치),부실·위험,조회공시 신고시한 위반,1,1,1
뉴스형(즉시조치),부실·위험,투자자 보호 : 자진 상장폐지 결정,1,1,1
뉴스형(즉시조치),부실·위험,투자자 보호:자진 상장폐지 결정,1,1,1
뉴스형(즉시조치),부실·위험,투자자보호 사유 : 자진 상장폐지 결정,1,1,0
뉴스형(즉시조치),부실·위험,파산신청,1,1,0
뉴스형(즉시조치),부실·위험,파산신청(발행 ELW 포함,1,1,1
뉴스형(즉시조치),부실·위험,회생절차 개시신청,1,1,1
뉴스형(즉시조치),자본·조직변동,무상증자,99,97,30
뉴스형(즉시조치),자본·조직변동,자본감소,75,69,63
뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,47,43,40
뉴스형(즉시조치),자본·조직변동,영업양수도,18,16,14
뉴스형(즉시조치),자본·조직변동,우회상장여부 및 요건충족확인,10,10,7
뉴스형(즉시조치),자본·조직변동,합병,6,6,5
뉴스형(즉시조치),자본·조직변동,"주식교환, 이전",5,5,2
뉴스형(즉시조치),자본·조직변동,분할,4,4,3
뉴스형(즉시조치),자본·조직변동,"SPAC 합병결정 이후 취소,부인사실 발생",2,2,1
뉴스형(즉시조치),자본·조직변동,이익소각,2,2,1
뉴스형(즉시조치),자본·조직변동,SPAC합병(예비심사청구대상,1,1,0
뉴스형(즉시조치),자본·조직변동,"주식교환,이전",1,1,1
뉴스형(즉시조치),자본·조직변동,주식배당,1,1,1
집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",272,228,271
집행형(부담 낮음),자본·조직변동,SPAC 소멸합병,34,34,34
