code,무거래일,name,decile,amt_avg,listed,일평균_억,편입가능일,종목명
021045,24,대호특수강우,D10,3260137.295081967,244,0.03,244,대호특수강우
450940,4,,D10,14337984.939759037,498,0.14,498,(상장폐지)
444920,3,,D10,19981928.982725527,521,0.2,521,(상장폐지)
440820,3,,D10,24890072.254335266,346,0.25,346,(상장폐지)
457940,2,,D10,18329505.893909626,509,0.18,509,(상장폐지)
435870,1,,D10,25341051.98019802,202,0.25,202,(상장폐지)
439410,1,,D10,41970775.14792899,338,0.42,338,(상장폐지)
454640,1,,D10,19743755.71725572,481,0.2,481,(상장폐지)
446150,1,,D10,50918672.4738676,287,0.51,287,(상장폐지)
455910,1,,D10,21860809.71659919,494,0.22,494,(상장폐지)
458610,1,,D10,19589959.615384616,520,0.2,520,(상장폐지)
462020,1,,D10,18886118.613138687,548,0.19,548,(상장폐지)
464440,1,,D10,19236768.485915493,568,0.19,568,(상장폐지)
