구분,시장구분,회사명,종목코드,상장일,상장주식수(천주)
주권,유가증권,케이뱅크,279570,2026-03-05,405695
주권,유가증권,티엠씨,217590,2025-12-15,24094
주권,유가증권,삼성에피스홀딩스,0126Z0,2025-11-24,24883
주권,유가증권,삼양바이오팜,0120G0,2025-11-24,7436
주권,유가증권,명인제약,317450,2025-10-01,14600
주권,유가증권,대한조선,439260,2025-08-01,38089
주권,유가증권,달바글로벌,483650,2025-05-22,12485
주권,유가증권,씨케이솔루션,480370,2025-03-17,32481
주권,유가증권,서울보증보험,031210,2025-03-14,69822
주권,유가증권,LG씨엔에스,064400,2025-02-05,96886
주권,유가증권,GS피앤엘,499790,2024-12-23,19831
주권,유가증권,엠앤씨솔루션,484870,2024-12-16,9154
주권,유가증권,더본코리아,475560,2024-11-06,14828
주권,유가증권,한화비전,489790,2024-09-27,50488
주권,유가증권,전진건설로봇,079900,2024-08-19,14593
주권,유가증권,HS효성,487570,2024-07-29,3726
주권,유가증권,산일전기,062040,2024-07-29,30616
주권,유가증권,시프트업,462870,2024-07-11,58742
주권,유가증권,파라다이스,034230,2024-06-24,92629
주권,유가증권,HD현대마린솔루션,443060,2024-05-08,44833
주권,유가증권,SK이터닉스,475150,2024-03-29,34067
주권,유가증권,에이피알,278470,2024-02-27,37438
주권,유가증권,엘앤에프,066970,2024-01-29,40683
주권,유가증권,포스코DX,022100,2024-01-02,152035
주권,유가증권,DS단석,017860,2023-12-22,17759
주권,유가증권,동인기연,111380,2023-11-21,6128
주권,유가증권,에코프로머티,450080,2023-11-17,70814
주권,유가증권,두산로보틱스,454910,2023-10-05,64820
주권,유가증권,STX그린로지스,465770,2023-09-15,7171
주권,유가증권,넥스틸,092790,2023-08-21,26002
주권,유가증권,NICE평가정보,030190,2023-08-08,58912
주권,유가증권,조선내화,462520,2023-07-28,11855
주권,유가증권,비에이치,090460,2023-06-20,33712
주권,유가증권,동국씨엠,460850,2023-06-16,29899
주권,유가증권,동국제강,460860,2023-06-16,49608
주권,유가증권,이수스페셜티케미컬,457190,2023-05-31,30219
주권,유가증권,OCI,456040,2023-05-30,8952
주권,유가증권,SK오션플랜트,100090,2023-04-19,62478
주권,유가증권,현대그린푸드,453340,2023-04-10,32472
주권,유가증권,한화갤러리아,452260,2023-03-31,196764
주권,유가증권,바이오노트,377740,2022-12-22,101886
주권,유가증권,유니드비티플러스,446070,2022-11-28,10611
주권,유가증권,LX세미콘,108320,2022-11-03,16264
주권,유가증권,쏘카,403550,2022-08-22,37940
주권,유가증권,수산인더스트리,126720,2022-08-01,14286
주권,유가증권,LG에너지솔루션,373220,2022-01-27,234000
