Symbol,ISIN,Name,Currency,Date,Open,High,Low,Close,Volume,Turnover,NAV,NetAssets,IndexName,IndexClose
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-05-27,32090,32090,23085,23765,2394083,59225649441,23886.1,45383586153,KRX SK하이닉스 지수,13101.64
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-05-28,23020,25300,21935,24890,3722373,87516115403,25096.1,47682594302,KRX SK하이닉스 지수,13370.33
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-05-29,26455,26970,24945,25730,1434964,37035209791,25904.15,56341526096,KRX SK하이닉스 지수,13627.34
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-01,25335,27375,25000,26750,2070141,54574391067,26217.87,67511023981,KRX SK하이닉스 지수,13802.57
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-02,26905,27615,24160,26190,1881995,47946792118,25812.31,69047932390,KRX SK하이닉스 지수,13785.05
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-04,24240,25540,24120,24975,1142458,28336155129,24604.24,84269510917,KRX SK하이닉스 지수,13422.9
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-05,21705,22635,19950,19950,920984,19551327939,18677.92,71443049684,KRX SK하이닉스 지수,12091.12
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-08,16055,20060,16055,16690,1428843,26166764441,16294.08,69249837003,KRX SK하이닉스 지수,11162.38
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-09,19080,22065,18190,21935,703562,14023615505,21960.1,101016474526,KRX SK하이닉스 지수,12938.08
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-10,20415,21160,17440,18540,777059,14876497966,18740.78,82927969327,KRX SK하이닉스 지수,11962.62
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-11,17365,20470,16925,19490,681755,12977264327,19528.18,90317849432,KRX SK하이닉스 지수,12272.2
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-12,22955,23135,20140,20140,756850,16939902397,20126.27,89058743522,KRX SK하이닉스 지수,12558.41
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-15,22575,23595,22510,22780,371092,8572406490,22795.59,100300579490,KRX SK하이닉스 지수,13364.49
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-16,24530,25065,22890,24750,711298,17341835646,24823.68,109844780588,KRX SK하이닉스 지수,13913.55
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-17,23940,27720,23845,27565,649694,16956972199,27828.25,123139992221,KRX SK하이닉스 지수,14725.47
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-18,28445,32510,28405,31220,1459539,45040143331,31291.34,142375582888,KRX SK하이닉스 지수,15683.41
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-19,34620,36040,31220,33000,1278580,42995071027,33022.94,151905517746,KRX SK하이닉스 지수,16144.86
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-22,32210,37405,32210,36940,1433299,51508872596,36825.15,181363878970,KRX SK하이닉스 지수,17050.23
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-23,36655,37500,27000,27640,1390543,45096554829,27538.24,137691201358,KRX SK하이닉스 지수,14924.07
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-24,28830,30720,25500,28245,1287316,36562581962,28246.25,143349724855,KRX SK하이닉스 지수,15070.09
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-25,34440,37380,31895,35325,1620004,56715708665,35349.0,178512435357,KRX SK하이닉스 지수,17038.55
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-26,33880,34620,27620,29130,1306471,40032704023,29388.22,151349335054,KRX SK하이닉스 지수,15613.32
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-29,28675,29580,25940,28190,1620342,44396394167,28243.75,151104037643,KRX SK하이닉스 지수,15350.47
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-06-30,28230,30915,26550,28895,644146,18579434419,28974.07,162254815098,KRX SK하이닉스 지수,15478.97
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-07-01,29350,30500,25600,26995,620719,17139185413,26819.12,146164207221,KRX SK하이닉스 지수,14953.27
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-07-02,22570,24540,18225,18225,1664930,36954907997,18855.87,101821719072,KRX SK하이닉스 지수,12774.53
0192L0.KS,KR70192L0007,RISE SK하이닉스단일종목레버리지,KRW,2026-07-03,19025,23605,16500,23210,1196052,24893121125,22967.27,0,KRX SK하이닉스 지수,14164.72
