Symbol,ISIN,Name,Currency,Date,Open,High,Low,Close,Volume,Turnover,NAV,NetAssets,IndexName,IndexClose
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-05-27,28505,30650,26785,27775,152369192,4392291588030,27797.25,1899247343241,KRX SK하이닉스 지수,13101.64
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-05-28,26935,29435,25540,28970,137360534,3779045416336,29096.26,1988001866186,KRX SK하이닉스 지수,13370.33
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-05-29,30530,31355,29000,29895,91577807,2754486569017,30117.02,2155625669424,KRX SK하이닉스 지수,13627.34
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-01,29160,31840,29095,31100,91477315,2810463474474,30596.61,2227433387481,KRX SK하이닉스 지수,13802.57
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-02,31100,32000,27995,30545,100087348,2970687802764,30279.08,2248221659698,KRX SK하이닉스 지수,13785.05
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-04,28660,29795,28180,29055,44136936,1276984784999,28772.84,2433463240639,KRX SK하이닉스 지수,13422.9
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-05,25115,26290,23160,23160,102947201,2528327871292,22100.94,2036601302963,KRX SK하이닉스 지수,12091.12
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-08,18860,23255,18665,19605,111654985,2382201470723,19069.76,1838325141980,KRX SK하이닉스 지수,11162.38
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-09,22315,25940,21230,25765,106676202,2500093631994,25794.53,3043109838488,KRX SK하이닉스 지수,12938.08
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-10,23880,24945,20505,21740,98148798,2218992443487,21996.18,2713778378953,KRX SK하이닉스 지수,11962.62
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-11,20430,24195,19835,22985,122661723,2745121040714,22960.5,2861451798531,KRX SK하이닉스 지수,12272.2
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-12,27040,27285,23920,23920,94598971,2488087218605,23723.0,3011042326749,KRX SK하이닉스 지수,12558.41
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-15,26685,27815,26450,26810,66805604,1816052513694,26901.48,3666671237084,KRX SK하이닉스 지수,13364.49
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-16,28630,29510,27000,29190,90856630,2596889775921,29317.66,3936628833734,KRX SK하이닉스 지수,13913.55
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-17,28210,32775,28080,32660,111032125,3390695534257,32903.16,4400797428854,KRX SK하이닉스 지수,14725.47
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-18,33475,38425,33465,36900,142814867,5144387380440,37094.67,4979032379424,KRX SK하이닉스 지수,15683.41
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-19,41000,42675,36905,39200,174518957,6953008378559,39155.75,5309520003381,KRX SK하이닉스 지수,16144.86
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-22,38190,44330,38100,44000,137471986,5829000525876,43626.19,6283262458756,KRX SK하이닉스 지수,17050.23
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-23,44005,44385,31800,32790,194888518,7430494910586,32469.32,4769742999961,KRX SK하이닉스 지수,14924.07
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-24,34370,36260,29900,33210,213031524,7131522103424,33331.76,5106426316497,KRX SK하이닉스 지수,15070.09
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-25,40260,43980,37530,41785,165926590,6751461755301,41909.74,6770518855790,KRX SK하이닉스 지수,17038.55
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-26,39950,40860,32570,34545,174889126,6296054984329,34941.91,5896446596130,KRX SK하이닉스 지수,15613.32
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-29,34105,35180,30700,33660,144984196,4738255502543,33478.96,5644551958510,KRX SK하이닉스 지수,15350.47
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-06-30,33405,36630,31375,34505,125584199,4306956071869,34312.91,6010763896325,KRX SK하이닉스 지수,15478.97
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-07-01,34830,36165,30250,31875,124789471,4070009165724,31759.5,5811194648474,KRX SK하이닉스 지수,14953.27
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-07-02,26595,29000,22035,22035,194637413,5142934754019,22253.03,4139620776688,KRX SK하이닉스 지수,12774.53
0193T0.KS,KR70193T0008,KODEX SK하이닉스단일종목레버리지,KRW,2026-07-03,22655,27880,19435,27400,267083350,6405061800994,27164.03,0,KRX SK하이닉스 지수,14164.72
