Symbol,ISIN,Name,Currency,Date,Open,High,Low,Close,Volume,Turnover,NAV,NetAssets,IndexName,IndexClose
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-05-27,22785,23200,21000,21085,583948,13115208648,21387.86,10693928595,KRX 삼성전자 선물 지수,5604.44
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-05-28,20710,21035,18290,19965,782191,15744888231,19808.03,9904017379,KRX 삼성전자 선물 지수,5396.87
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-05-29,21400,22725,21000,22430,430515,9449743587,22460.61,11791822847,KRX 삼성전자 선물 지수,5757.86
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-01,22730,27920,22730,27370,403105,10513012585,27830.15,14610827727,KRX 삼성전자 선물 지수,6443.75
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-02,29805,31650,26705,28810,742665,20915019871,28294.87,14854804443,KRX 삼성전자 선물 지수,6497.9
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-04,26910,29600,25940,27245,131167,3685849665,26859.88,14101439556,KRX 삼성전자 선물 지수,6335.45
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-05,24475,25885,23125,23285,225587,5469811955,22937.88,15483070069,KRX 삼성전자 선물 지수,5875.18
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-08,19050,21550,18470,18675,184284,3698468282,18083.94,14015056327,KRX 삼성전자 선물 지수,5240.87
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-09,20590,22115,19195,22105,111044,2280716897,21587.53,16730333807,KRX 삼성전자 선물 지수,5749.62
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-10,20565,21015,18245,19045,80603,1563285789,19541.9,15144969436,KRX 삼성전자 선물 지수,5487.79
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-11,17510,19600,17375,18425,110195,2022572490,18619.45,14430075507,KRX 삼성전자 선물 지수,5357.5
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-12,22055,23645,21365,21560,259414,5912486902,21455.13,17164100853,KRX 삼성전자 선물 지수,5768.24
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-15,24105,24105,23150,23380,110047,2601572335,23518.37,18814698603,KRX 삼성전자 선물 지수,6045.04
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-16,24495,24652,22940,24165,192546,4595919987,24282.7,19426162354,KRX 삼성전자 선물 지수,6143.26
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-17,22730,25000,22720,24990,152796,3626384205,25124.71,20099766291,KRX 삼성전자 선물 지수,6250.41
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-18,24785,27275,24595,27275,228254,5878733629,27062.22,22326333375,KRX 삼성전자 선물 지수,6491.5
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-19,28990,29055,24790,25920,276217,7483677122,25586.06,22387804206,KRX 삼성전자 선물 지수,6312.92
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-22,24790,27260,24305,25810,223703,5815857794,25852.37,22620827966,KRX 삼성전자 선물 지수,6348.64
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-23,25550,25765,19445,19500,129228,2979209026,19430.5,17001691275,KRX 삼성전자 선물 지수,5553.94
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-24,20295,23250,20210,22990,689548,15251712359,23408.52,19312027703,KRX 삼성전자 선물 지수,6125.41
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-25,25675,26365,24945,25795,173001,4457316268,25979.29,21432911134,KRX 삼성전자 선물 지수,6464.72
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-26,25205,25465,20500,22985,309197,7004841915,23492.11,19380988414,KRX 삼성전자 선물 지수,6161.13
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-29,21995,22190,19890,21160,311134,6521102575,20762.98,17129455005,KRX 삼성전자 선물 지수,5795.03
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-06-30,21180,23365,20615,22380,220024,4867557860,22299.35,18396965446,KRX 삼성전자 선물 지수,6009.33
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-07-01,22250,22850,19170,19760,213254,4369523730,19584.59,16157289115,KRX 삼성전자 선물 지수,5643.23
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-07-02,17075,18150,15435,15830,223029,3784260880,15781.55,13019781753,KRX 삼성전자 선물 지수,5089.62
0194N0.KS,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,KRW,2026-07-03,16370,19000,15760,18465,324685,5671995845,18428.3,0,KRX 삼성전자 선물 지수,5509.29
