Symbol,ISIN,Name,Currency,Date,Open,High,Low,Close,Volume,Turnover,NAV,NetAssets,IndexName,IndexClose
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-05-27,23380,23390,20970,21080,45209388,1016855506274,21229.55,633702069047,KRX 삼성전자 지수,5749.06
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-05-28,20730,21010,18395,19985,49795937,990894428156,19897.89,593951896535,KRX 삼성전자 지수,5608.61
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-05-29,21375,22650,20985,22500,45219631,989709837570,22414.77,703263322809,KRX 삼성전자 지수,5936.33
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-01,22815,27885,22720,27185,55202895,1428884795299,27421.35,845263153607,KRX 삼성전자 지수,6535.58
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-02,28815,30395,26300,28950,92153646,2600370476185,28494.06,955975770647,KRX 삼성전자 지수,6750.94
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-04,27050,29675,26815,27260,40548249,1141650206899,27058.83,1106705943079,KRX 삼성전자 지수,6582.4
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-05,23940,25920,23110,23585,56211204,1366146068479,23286.93,1185887001243,KRX 삼성전자 지수,6161.05
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-08,18625,21695,18625,18705,51236678,1036496931309,18408.83,1052524702639,KRX 삼성전자 지수,5533.71
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-09,20505,22245,19280,22185,50310875,1040574076185,21912.11,1380463204706,KRX 삼성전자 지수,6029.96
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-10,20465,21065,18420,19305,44995296,884331863372,19546.74,1293016974863,KRX 삼성전자 지수,5664.79
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-11,18010,19810,17475,18725,48834826,911802026615,18823.37,1252695492208,KRX 삼성전자 지수,5599.25
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-12,22215,23935,21550,21785,65001810,1497357613444,21732.71,1467501280955,KRX 삼성전자 지수,6039.33
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-15,24305,24310,23400,23675,35162872,838874094798,23758.06,1665440040263,KRX 삼성전자 지수,6310.86
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-16,24535,24860,23195,24510,49246599,1189794757326,24559.94,1718582019994,KRX 삼성전자 지수,6423.22
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-17,22960,25265,22920,25160,43304738,1034277761306,25256.36,1762262463553,KRX 삼성전자 지수,6488.76
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-18,25030,27550,24910,27550,64356584,1667650499783,27350.59,1915909035304,KRX 삼성전자 지수,6788.39
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-19,29035,29300,25040,26195,82641304,2266203318279,25942.16,1810762497708,KRX 삼성전자 지수,6629.21
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-22,24940,27540,24425,26135,60804238,1593748755133,26066.99,1866396502941,KRX 삼성전자 지수,6619.85
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-23,25485,26015,19555,19750,70097288,1649989747433,19614.46,1433326725818,KRX 삼성전자 지수,5805.24
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-24,20640,23575,20485,23405,85544142,1896708704956,23610.14,1689305838170,KRX 삼성전자 지수,6376.4
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-25,26100,26650,25215,26015,59483661,1548142977179,26165.03,2016669662454,KRX 삼성전자 지수,6713.48
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-26,25560,25780,20635,23045,57679046,1317007755862,23466.82,1887906047059,KRX 삼성전자 지수,6357.68
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-29,22100,22300,20000,21145,50419664,1058516480573,20965.82,1668879269832,KRX 삼성전자 지수,6048.69
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-06-30,21265,23655,20780,22590,47579584,1062864573275,22468.99,1920537284793,KRX 삼성전자 지수,6254.68
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-07-01,22700,23200,19300,19985,38494587,792888758669,19761.48,1721224959266,KRX 삼성전자 지수,5889.51
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-07-02,17070,18360,15525,16200,50085063,854424870722,15999.0,1433110538432,KRX 삼성전자 지수,5355.81
0195R0.KS,KR70195R0008,TIGER 삼성전자단일종목레버리지,KRW,2026-07-03,16540,19165,15900,18805,55710601,985386650800,18646.47,0,KRX 삼성전자 지수,5795.88
