Symbol,ISIN,Name,Currency,Date,Open,High,Low,Close,Volume,Turnover,NAV,NetAssets,IndexName,IndexClose
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-05-27,24650,26930,22925,23695,84336069,2070912474066,23693.59,884955650993,KRX SK하이닉스 지수,13101.64
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-05-28,22735,25115,21735,24735,81633725,1911296159280,24820.14,927032246518,KRX SK하이닉스 지수,13370.33
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-05-29,26150,26770,24770,25370,64929349,1664485609642,25707.5,1199897562222,KRX SK하이닉스 지수,13627.34
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-01,25000,27195,24850,26535,63765220,1666776798991,26087.9,1370267013969,KRX SK하이닉스 지수,13802.57
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-02,26555,27275,23900,26015,64729250,1643097448926,25792.39,1676505351497,KRX SK하이닉스 지수,13785.05
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-04,24425,25370,23980,24765,29954645,738369939627,24484.69,1885321485691,KRX SK하이닉스 지수,13422.9
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-05,21530,22410,19785,19785,60896331,1271278070969,18786.72,1437184407855,KRX SK하이닉스 지수,12091.12
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-08,15665,19695,15600,16475,75409051,1363270812123,16158.43,1299945349477,KRX SK하이닉스 지수,11162.38
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-09,19010,22080,18090,22065,73044787,1457111119196,22031.7,2059413107679,KRX SK하이닉스 지수,12938.08
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-10,20450,21220,17415,18500,70041586,1345763153403,18712.58,1858158856909,KRX SK하이닉스 지수,11962.62
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-11,17380,20575,16885,19540,88467368,1686939130981,19516.11,1927704082674,KRX SK하이닉스 지수,12272.2
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-12,23155,23195,20335,20335,65041391,1457419720554,20132.75,2093805815690,KRX SK하이닉스 지수,12558.41
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-15,22780,23650,22500,22950,46275417,1069942902829,22855.15,2407218834418,KRX SK하이닉스 지수,13364.49
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-16,24800,25120,22950,24775,58201675,1414124092448,24926.66,2625399979787,KRX SK하이닉스 지수,13913.55
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-17,23975,27845,23955,27740,69092124,1802893545955,27982.7,2939582978238,KRX SK하이닉스 지수,14725.47
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-18,28500,32670,28470,31325,104442087,3201060882611,31525.31,3263658225278,KRX SK하이닉스 지수,15683.41
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-19,34780,36315,31370,33290,104306269,3543743417623,33273.25,3352280206806,KRX SK하이닉스 지수,16144.86
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-22,32410,37755,32370,37420,108220037,3912142309125,37083.93,3740841173345,KRX SK하이닉스 지수,17050.23
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-23,37400,37775,27100,28085,114654287,3758199940313,27608.45,2816061611144,KRX SK하이닉스 지수,14924.07
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-24,28680,30930,25500,28260,119447145,3396911871639,28382.57,2902118186335,KRX SK하이닉스 지수,15070.09
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-25,34215,37585,32015,35710,97791304,3397345555088,35644.92,4051936570327,KRX SK하이닉스 지수,17038.55
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-26,34075,34800,27725,29225,106102067,3261660702702,29623.89,3492656717221,KRX SK하이닉스 지수,15613.32
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-29,28730,29845,26000,28515,95518674,2636950612069,28350.15,3220577457501,KRX SK하이닉스 지수,15350.47
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-06-30,28320,31115,26605,29140,76627860,2229287875578,29084.1,3626060425563,KRX SK하이닉스 지수,15478.97
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-07-01,29415,30690,25660,27030,90151330,2492661029958,26901.73,3451492055636,KRX SK하이닉스 지수,14953.27
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-07-02,22700,24600,18845,18845,105372337,2346360127171,18861.27,2405283099438,KRX SK하이닉스 지수,12774.53
0195S0.KS,KR70195S0007,TIGER SK하이닉스단일종목레버리지,KRW,2026-07-03,19040,23720,16500,23390,158151106,3216377083568,22999.38,0,KRX SK하이닉스 지수,14164.72
