Symbol,ISIN,Name,Currency,Date,Open,High,Low,Close,Volume,Turnover,NAV,NetAssets,IndexName,IndexClose
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-05-27,23865,25465,21995,22195,809116,18854803406,22363.8,10622805218,KRX 삼성전자 선물 지수,5604.44
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-05-28,21980,22080,19295,20965,817328,17231363871,20797.07,9878609146,KRX 삼성전자 선물 지수,5396.87
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-05-29,22290,24000,21940,23580,397015,9117037277,23549.01,12834210351,KRX 삼성전자 선물 지수,5757.86
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-01,23820,29555,23820,28735,681321,18523283856,29058.8,16418224510,KRX 삼성전자 선물 지수,6443.75
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-02,42035,42035,28095,30320,609410,18262746057,29692.43,17518533879,KRX 삼성전자 선물 지수,6497.9
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-04,28215,30955,28125,28650,335569,9818098877,28175.42,21554193905,KRX 삼성전자 선물 지수,6335.45
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-05,25360,26925,24095,24825,304862,7694914848,24087.13,20714935561,KRX 삼성전자 선물 지수,5875.18
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-08,18835,22550,18835,19725,365383,7660240615,18989.33,17470180741,KRX 삼성전자 선물 지수,5240.87
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-09,21495,23175,20010,23175,322038,7015541957,22733.95,22733953723,KRX 삼성전자 선물 지수,5749.62
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-10,21420,21940,19150,20090,219650,4451886687,20471.9,22109649402,KRX 삼성전자 선물 지수,5487.79
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-11,18655,20520,18205,19405,157532,3060863162,19619.27,21581199986,KRX 삼성전자 선물 지수,5357.5
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-12,23240,24800,22475,22555,290324,6926274590,22700.0,25083497040,KRX 삼성전자 선물 지수,5768.24
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-15,25575,25575,24460,24730,209814,5235347743,24828.31,27807711996,KRX 삼성전자 선물 지수,6045.04
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-16,25690,25925,24255,25570,302385,7580655359,25659.89,28739073551,KRX 삼성전자 선물 지수,6143.26
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-17,24040,26435,23995,26305,358436,8923258202,26492.29,29538905361,KRX 삼성전자 선물 지수,6250.41
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-18,26105,28850,25970,28850,564023,15216881860,28632.17,31924870863,KRX 삼성전자 선물 지수,6491.5
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-19,30400,30690,26230,27480,478490,13759301534,27040.38,31366845029,KRX 삼성전자 선물 지수,6312.92
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-22,26195,28770,25605,27155,296905,8158818597,27242.1,33235359622,KRX 삼성전자 선물 지수,6348.64
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-23,26720,27095,20325,20325,511137,12536579445,20400.99,25909252503,KRX 삼성전자 선물 지수,5553.94
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-24,20910,24445,20885,24200,517562,11925717665,24577.48,32442267595,KRX 삼성전자 선물 지수,6125.41
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-25,26890,27625,26155,27035,477745,12898633208,27258.94,39934345303,KRX 삼성전자 선물 지수,6464.72
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-26,26395,27030,21395,23960,653021,15706384497,24631.98,36947967328,KRX 삼성전자 선물 지수,6161.13
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-29,22855,23095,20840,22100,410260,8947890245,21853.99,32780991967,KRX 삼성전자 선물 지수,5795.03
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-06-30,22110,24595,21575,23450,375836,8753000700,23444.07,36338304224,KRX 삼성전자 선물 지수,6009.33
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-07-01,23580,24655,20090,20760,264479,5695454657,20621.37,33819051059,KRX 삼성전자 선물 지수,5643.23
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-07-02,17955,19090,16160,16815,487809,8660437266,16637.11,26453002325,KRX 삼성전자 선물 지수,5089.62
0198B0.KS,KR70198B0003,1Q 삼성전자선물단일종목레버리지,KRW,2026-07-03,17080,20010,16530,19630,438555,8104970236,19416.69,0,KRX 삼성전자 선물 지수,5509.29
