Symbol,ISIN,Name,Currency,Date,Open,High,Low,Close,Volume,Turnover,NAV,NetAssets,IndexName,IndexClose
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-05-27,35930,35930,25845,26830,431931,12118510551,26611.26,12640347835,KRX SK하이닉스 선물 지수,12801.47
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-05-28,26830,29810,24405,27640,681373,18360265535,27960.54,13281256600,KRX SK하이닉스 선물 지수,13136.11
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-05-29,29650,30000,27640,28635,359102,10378446067,28870.64,16600618347,KRX SK하이닉스 선물 지수,13345.97
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-01,28625,30505,27120,29860,447082,13137892245,29117.1,22420169552,KRX SK하이닉스 선물 지수,13391.35
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-02,29960,31330,26900,29185,626072,17727601265,28620.94,22038126041,KRX SK하이닉스 선물 지수,13272.24
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-04,27285,28500,26995,27710,137198,3781775224,27259.57,23715823695,KRX SK하이닉스 선물 지수,12960.29
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-05,24960,26035,22165,22165,439768,10235561579,20010.19,19910137105,KRX SK하이닉스 선물 지수,11230.36
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-08,17670,21840,17410,18285,534307,10625494009,17467.16,17991178829,KRX SK하이닉스 선물 지수,10594.42
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-09,20675,23505,19450,23400,505310,10841092136,23614.6,26684493851,KRX SK하이닉스 선물 지수,12588.87
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-10,21750,22725,18500,19710,382299,7917198788,19783.45,23839062392,KRX SK하이닉스 선물 지수,11707.45
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-11,18145,21470,17650,20545,368365,7298216259,20650.33,24883650328,KRX SK하이닉스 선물 지수,11923.53
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-12,24100,24480,21525,21525,376705,8867724368,21195.78,26176793386,KRX SK하이닉스 선물 지수,12047.21
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-15,24010,25055,23810,24105,242789,5951360604,24053.91,30428192481,KRX SK하이닉스 선물 지수,12884.84
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-16,25880,26350,24225,26050,366391,9458289232,26268.85,33230095483,KRX SK하이닉스 선물 지수,13508.84
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-17,25290,29270,25220,29135,279581,7623648601,29532.29,37210688928,KRX SK하이닉스 선물 지수,14368.95
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-18,30010,34385,29835,33020,367153,11812255120,33254.12,41567647127,KRX SK하이닉스 선물 지수,15268.41
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-19,36255,38855,32980,35070,540069,19193190096,35101.15,43525424092,KRX SK하이닉스 선물 지수,15673.17
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-22,34330,39950,34240,39460,356871,13568565953,39245.5,48664419552,KRX SK하이닉스 선물 지수,16583.88
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-23,39195,39900,28100,29025,773448,26715348550,28926.31,36591785302,KRX SK하이닉스 선물 지수,14419.54
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-24,29935,32500,26610,29660,735840,21636636437,29826.19,37879260938,KRX SK하이닉스 선물 지수,14672.51
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-25,35655,39300,33300,37255,698251,25361512115,37445.12,53546528692,KRX SK하이닉스 선물 지수,16527.65
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-26,35725,36480,29035,30515,849855,27443610858,31217.44,46670067618,KRX SK하이닉스 선물 지수,15172.83
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-29,30280,31305,27470,29940,459862,13388701992,29858.31,44787466986,KRX SK하이닉스 선물 지수,14796.18
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-06-30,29915,32750,28300,30615,291361,9000176860,30719.48,47922396207,KRX SK하이닉스 선물 지수,15037.91
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-07-01,31065,32440,27000,28150,286231,8346850759,28336.19,44912868970,KRX SK하이닉스 선물 지수,14436.39
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-07-02,23970,25830,19015,19015,693532,16156722148,19757.5,31513216925,KRX SK하이닉스 선물 지수,12232.7
0198D0.KS,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,KRW,2026-07-03,19815,24665,17000,24200,867368,17972704834,24120.24,0,KRX SK하이닉스 선물 지수,13587.52
