Symbol,Date,NAV,AUM,Turnover,SoldShares
SMG3.L,2026-06-10,9.2738,231845.0,0.0,0.0
SMG3.L,2026-06-11,11.5642,231845.0,0.0,0.0
SMG3.L,2026-06-12,12.9019,284320.0,64743.0,5309.0
SMG3.L,2026-06-15,13.8688,326699.0,407178.0,27808.0
SMG3.L,2026-06-16,13.6942,342354.0,1315329.0,103707.0
SMG3.L,2026-06-17,15.3147,1789809.0,148439.0,10986.0
SMG3.L,2026-06-18,15.8505,1994320.0,293169.0,16081.0
SMG3.L,2026-06-19,14.73,1828330.0,491038.0,30698.0
SMG3.L,2026-06-22,14.8623,2452286.0,917818.0,54943.0
SMG3.L,2026-06-23,11.6084,1534469.0,796230.0,80638.0
SMG3.L,2026-06-24,13.8847,3209363.0,561006.0,47503.0
SMG3.L,2026-06-25,12.2138,3753409.0,1372606.0,111338.0
SMG3.L,2026-06-26,10.2915,3229778.0,393042.0,32838.0
SMG3.L,2026-06-29,11.1977,2668328.0,426009.0,43789.0
SMG3.L,2026-07-01,6.8327,2826762.0,352269.0,40933.0
SMG3.L,2026-07-02,6.4308,1993551.0,385307.0,61307.0
