Symbol,Date,Open,High,Low,Close,Turnover
SMG3.L,2026-06-12,11.52,12.515,11.0,12.195,63323.62
SMG3.L,2026-06-15,13.205,14.5,13.17,14.6425,383952.15
SMG3.L,2026-06-16,15.0,17.4,12.605,12.6825,1425668.68
SMG3.L,2026-06-17,15.0,15.5,13.2,13.5,121210.78
SMG3.L,2026-06-18,16.22,18.17,15.8,18.235,190204.58
SMG3.L,2026-06-19,16.1,16.195,15.385,15.9975,384789.54
SMG3.L,2026-06-22,16.205,17.8,15.3,16.6575,543440.81
SMG3.L,2026-06-23,15.0,15.0,9.76,9.8875,635777.92
SMG3.L,2026-06-24,12.59,12.7,11.2,11.5925,340088.87
SMG3.L,2026-06-25,14.8,14.8,11.815,12.38,1073532.265
SMG3.L,2026-06-26,12.08,12.265,10.895,11.975,305260.97
SMG3.L,2026-06-29,11.97,11.97,8.785,9.72375,339459.13
SMG3.L,2026-06-30,10.995,11.73,10.85,11.315,224664.74
SMG3.L,2026-07-01,11.445,11.445,8.5,8.605,304486.68
SMG3.L,2026-07-02,6.6025,8.2,6.19,6.26,352440.5075
SMG3.L,2026-07-03,7.9525,8.8,7.885,8.31625,212538.67
