Symbol,Exchange,Underlying,Leverage,Currency,ISIN,Name,Date,Open,High,Low,Close,Volume,Turnover,NAV,FX_Pair,FX_Rate,Open_KRW,High_KRW,Low_KRW,Close_KRW,NAV_KRW
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-05-27,32090.0,32090.0,23085.0,23765.0,2394083,59225649441.0,23886.1,-,1.0,32090.0,32090.0,23085.0,23765.0,23886.1
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-05-28,23020.0,25300.0,21935.0,24890.0,3722373,87516115403.0,25096.1,-,1.0,23020.0,25300.0,21935.0,24890.0,25096.1
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-05-29,26455.0,26970.0,24945.0,25730.0,1434964,37035209791.0,25904.15,-,1.0,26455.0,26970.0,24945.0,25730.0,25904.15
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-01,25335.0,27375.0,25000.0,26750.0,2070141,54574391067.0,26217.87,-,1.0,25335.0,27375.0,25000.0,26750.0,26217.87
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-02,26905.0,27615.0,24160.0,26190.0,1881995,47946792118.0,25812.31,-,1.0,26905.0,27615.0,24160.0,26190.0,25812.31
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-04,24240.0,25540.0,24120.0,24975.0,1142458,28336155129.0,24604.24,-,1.0,24240.0,25540.0,24120.0,24975.0,24604.24
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-05,21705.0,22635.0,19950.0,19950.0,920984,19551327939.0,18677.92,-,1.0,21705.0,22635.0,19950.0,19950.0,18677.92
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-08,16055.0,20060.0,16055.0,16690.0,1428843,26166764441.0,16294.08,-,1.0,16055.0,20060.0,16055.0,16690.0,16294.08
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-09,19080.0,22065.0,18190.0,21935.0,703562,14023615505.0,21960.1,-,1.0,19080.0,22065.0,18190.0,21935.0,21960.1
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-10,20415.0,21160.0,17440.0,18540.0,777059,14876497966.0,18740.78,-,1.0,20415.0,21160.0,17440.0,18540.0,18740.78
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-11,17365.0,20470.0,16925.0,19490.0,681755,12977264327.0,19528.18,-,1.0,17365.0,20470.0,16925.0,19490.0,19528.18
