Date,Rate
2025-05-02,178.31
2025-05-07,180.22
2025-05-08,180.77
2025-05-09,179.91
2025-05-12,182.32
2025-05-13,181.8
2025-05-14,180.54
2025-05-15,179.37
2025-05-16,179.03
2025-05-19,177.74
2025-05-20,178.2
2025-05-21,175.85
2025-05-22,176.7
2025-05-23,174.67
2025-05-26,174.83
2025-05-27,175.55
2025-05-28,175.47
2025-05-29,174.98
2025-05-30,176.45
2025-06-02,175.78
2025-06-04,173.81
2025-06-05,173.67
2025-06-09,172.69
2025-06-10,174.22
2025-06-11,174.62
2025-06-12,172.81
2025-06-13,174.35
2025-06-16,173.13
2025-06-17,175.74
2025-06-18,175.11
2025-06-19,175.53
2025-06-20,175.36
2025-06-23,174.85
2025-06-24,173.13
2025-06-25,173.39
2025-06-26,173.07
2025-06-27,173.77
2025-06-30,172.49
2025-07-01,173.02
2025-07-02,172.74
2025-07-03,173.75
2025-07-04,174.08
2025-07-07,175.29
2025-07-08,174.72
2025-07-09,175.14
2025-07-10,174.84
2025-07-11,175.7
2025-07-14,176.2
2025-07-15,176.77
2025-07-16,176.7
2025-07-17,177.29
2025-07-18,177.38
2025-07-21,176.22
2025-07-22,176.0
2025-07-23,175.36
2025-07-24,175.01
2025-07-25,176.39
2025-07-28,177.07
2025-07-29,176.94
2025-07-30,177.47
2025-07-31,177.72
2025-08-01,177.21
2025-08-04,176.57
2025-08-05,176.78
2025-08-06,176.52
2025-08-07,176.44
2025-08-08,177.27
2025-08-11,177.4
2025-08-12,176.52
2025-08-13,175.82
2025-08-14,177.61
2025-08-18,177.6
2025-08-19,178.64
2025-08-20,178.89
2025-08-21,179.36
2025-08-22,177.35
2025-08-25,178.13
2025-08-26,179.0
2025-08-27,179.01
2025-08-28,177.73
2025-08-29,178.52
2025-09-01,178.73
2025-09-02,178.85
2025-09-03,178.32
2025-09-04,178.71
2025-09-05,178.38
2025-09-08,177.91
2025-09-09,178.46
2025-09-10,178.42
2025-09-11,178.51
2025-09-12,179.17
2025-09-15,178.22
2025-09-16,177.35
2025-09-17,177.56
2025-09-18,178.52
2025-09-19,179.94
2025-09-22,179.15
2025-09-23,179.47
2025-09-24,180.62
2025-09-25,181.02
2025-09-26,181.31
2025-09-29,179.92
2025-09-30,180.66
2025-10-01,180.37
2025-10-02,183.09
2025-10-10,184.52
2025-10-13,183.43
2025-10-14,184.01
2025-10-15,182.96
2025-10-16,182.54
2025-10-17,183.31
2025-10-20,183.06
2025-10-21,184.25
2025-10-22,184.37
2025-10-23,184.96
2025-10-24,185.3
2025-10-27,184.54
2025-10-28,184.63
2025-10-29,183.69
2025-10-30,184.12
2025-10-31,184.17
2025-11-03,184.1
2025-11-04,185.74
2025-11-05,185.34
2025-11-06,186.37
2025-11-07,187.73
2025-11-10,187.41
2025-11-11,188.08
2025-11-12,189.09
2025-11-13,189.28
2025-11-14,187.25
2025-11-17,188.11
2025-11-18,187.67
2025-11-19,188.62
2025-11-20,189.49
2025-11-21,189.11
2025-11-24,189.57
2025-11-25,188.57
2025-11-26,189.05
2025-11-27,188.08
2025-11-28,188.87
2025-12-01,188.86
2025-12-02,188.77
2025-12-03,188.47
2025-12-04,189.54
2025-12-05,189.47
2025-12-08,188.86
2025-12-09,189.0
2025-12-10,188.49
2025-12-11,189.22
2025-12-12,189.81
2025-12-15,189.0
2025-12-16,189.51
2025-12-17,190.03
2025-12-18,189.77
2025-12-19,190.29
2025-12-22,190.33
2025-12-23,190.54
2025-12-24,186.49
2025-12-26,185.95
2025-12-29,184.53
2025-12-30,185.23
2025-12-31,185.93
2026-01-02,185.67
2026-01-05,185.84
2026-01-06,186.05
2026-01-07,186.27
2026-01-08,186.47
2026-01-09,187.3
2026-01-12,188.3
2026-01-13,189.53
2026-01-14,188.08
2026-01-15,188.57
2026-01-16,189.24
2026-01-19,189.12
2026-01-20,189.73
2026-01-21,188.23
2026-01-22,187.91
2026-01-23,186.66
2026-01-26,185.7
2026-01-27,184.06
2026-01-28,183.74
2026-01-29,183.84
2026-01-30,185.86
2026-02-02,186.1
2026-02-03,185.72
2026-02-04,186.95
2026-02-05,188.01
2026-02-06,187.56
2026-02-09,186.76
2026-02-10,186.62
2026-02-11,185.23
2026-02-12,184.55
2026-02-13,185.94
2026-02-19,185.68
2026-02-20,185.3
2026-02-23,184.92
2026-02-24,184.39
2026-02-25,182.55
2026-02-26,183.11
2026-02-27,187.49
2026-03-03,189.63
2026-03-04,187.2
2026-03-05,189.14
2026-03-06,189.83
2026-03-09,187.66
2026-03-10,188.59
2026-03-11,189.0
2026-03-12,190.5
2026-03-13,191.5
2026-03-16,190.49
2026-03-17,189.89
2026-03-18,191.98
2026-03-19,190.34
2026-03-20,192.29
2026-03-23,190.13
2026-03-24,191.26
2026-03-25,192.44
2026-03-26,192.7
2026-03-27,192.65
2026-03-30,193.67
2026-03-31,192.7
2026-04-01,193.04
2026-04-02,192.98
2026-04-03,193.12
2026-04-06,192.47
2026-04-07,191.04
2026-04-08,189.09
2026-04-09,188.41
2026-04-10,190.15
2026-04-13,189.06
2026-04-14,188.1
2026-04-15,188.47
2026-04-16,189.3
2026-04-17,188.93
2026-04-20,188.03
2026-04-21,189.25
2026-04-22,188.87
2026-04-23,189.47
2026-04-24,188.63
2026-04-27,188.2
2026-04-28,188.17
2026-04-29,189.87
2026-04-30,188.33
2026-05-04,187.47
2026-05-06,184.93
2026-05-07,186.14
2026-05-08,187.0
2026-05-11,188.41
2026-05-12,190.58
2026-05-13,190.23
2026-05-14,190.68
2026-05-15,191.29
2026-05-18,190.53
2026-05-19,192.49
2026-05-20,191.29
2026-05-21,192.18
2026-05-22,192.99
2026-05-26,192.38
2026-05-27,191.72
2026-05-28,191.03
2026-05-29,192.36
2026-06-01,193.24
2026-06-02,195.87
2026-06-04,195.78
2026-06-05,199.06
2026-06-08,194.95
2026-06-09,194.53
2026-06-10,194.54
2026-06-11,193.84
2026-06-12,193.32
2026-06-15,193.44
2026-06-16,192.89
2026-06-17,194.69
2026-06-18,196.25
2026-06-19,195.62
2026-06-22,196.24
2026-06-23,195.57
2026-06-24,196.88
2026-06-25,197.06
2026-06-26,196.07
2026-06-29,196.59
2026-06-30,197.39
2026-07-01,197.92
2026-07-02,196.68
2026-07-03,195.08
