Symbol,ISIN,Name,Currency,Date,Open,High,Low,Close,Volume,Turnover,NAV,NetAssets,IndexName,IndexClose
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-05-27,24885,25960,22670,22830,80396576,1949485760678,22969.08,1224826070690,KRX 삼성전자 지수,5749.06
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-05-28,22435,22730,19917,21700,68294620,1469540766831,21552.29,1149276040022,KRX 삼성전자 지수,5608.61
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-05-29,23120,24515,22655,24315,65054847,1541357696443,24254.39,1369160045206,KRX 삼성전자 지수,5936.33
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-01,24645,30110,24615,29350,84733280,2375334220332,29595.54,1676587584303,KRX 삼성전자 지수,6535.58
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-02,31170,33000,28055,31325,112870987,3439195725577,30793.84,1852249282969,KRX 삼성전자 지수,6750.94
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-04,29280,32015,29000,29465,66210439,2013923876449,29259.97,2047466444431,KRX 삼성전자 지수,6582.4
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-05,26295,28000,25040,25565,79613229,2094403562059,25247.34,2075962542879,KRX 삼성전자 지수,6161.05
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-08,20200,23520,20195,20270,84547164,1848839060269,20005.27,1836983535784,KRX 삼성전자 지수,5533.71
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-09,22295,24135,20925,24115,71869987,1609506998893,23795.39,2347415338724,KRX 삼성전자 지수,6029.96
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-10,22290,22900,20050,20975,64294119,1378953345819,21242.95,2146068784261,KRX 삼성전자 지수,5664.79
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-11,19580,21535,18940,20435,67667876,1377020172863,20460.26,2067509558031,KRX 삼성전자 지수,5599.25
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-12,24340,26000,23410,23730,96747984,2420331912140,23619.8,2450554059562,KRX 삼성전자 지수,6039.33
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-15,26415,26415,25405,25685,48384480,1255738139425,25815.71,2802940324400,KRX 삼성전자 지수,6310.86
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-16,26620,27025,25200,26660,76469053,2007604337041,26693.28,2962954240935,KRX 삼성전자 지수,6423.22
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-17,25000,27480,25000,27390,73489682,1907424483833,27433.76,3038288510566,KRX 삼성전자 지수,6488.76
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-18,27205,29965,27035,29965,95267282,2683677742099,29753.38,3213364940377,KRX 삼성전자 지수,6788.39
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-19,31695,31815,27220,28435,120986089,3623501361082,28231.21,3090612257404,KRX 삼성전자 지수,6629.21
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-22,26600,29910,26550,28265,87190729,2471329207880,28354.07,3219604759663,KRX 삼성전자 지수,6619.85
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-23,27820,28260,21270,21310,99399388,2533098168670,21296.63,2536429023408,KRX 삼성전자 지수,5805.24
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-24,21905,25550,21905,25285,148352356,3577730473083,25581.6,3133745428172,KRX 삼성전자 지수,6376.4
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-25,28170,28880,27320,28280,101739356,2867887656083,28349.32,3666275780162,KRX 삼성전자 지수,6713.48
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-26,27700,28000,22380,24970,100337726,2482207666062,25507.66,3676291608987,KRX 삼성전자 지수,6357.68
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-29,24135,24530,21765,23055,76177079,1742073301003,22757.94,3243006065054,KRX 삼성전자 지수,6048.69
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-06-30,23090,25645,22515,24445,89822532,2171000631116,24379.78,3598455500893,KRX 삼성전자 지수,6254.68
0193W0.KS,KR70193W0003,KODEX 삼성전자단일종목레버리지,KRW,2026-07-01,24450,25145,21010,21605,64895027,1461209401275,21460.87,3261515502248,KRX 삼성전자 지수,5889.51
