Symbol,Date,NAV,AUM,Turnover,SoldShares
HNX3.L,2026-06-10,10.546,527301.0,0.0,0.0
HNX3.L,2026-06-11,10.9439,527301.0,0.0,0.0
HNX3.L,2026-06-12,10.5346,543335.0,465556.0,36586.0
HNX3.L,2026-06-15,14.9843,657211.0,2852841.0,172195.0
HNX3.L,2026-06-16,15.0201,2403208.0,1743326.0,109622.0
HNX3.L,2026-06-17,16.9022,5498685.0,2863876.0,149186.0
HNX3.L,2026-06-18,22.6434,6521403.0,2562681.0,93074.0
HNX3.L,2026-06-19,26.7211,10346233.0,2424988.0,93100.0
HNX3.L,2026-06-22,26.7342,13901759.0,10708066.0,330389.0
HNX3.L,2026-06-23,16.0452,13187078.0,16883873.0,903752.0
HNX3.L,2026-06-24,23.5213,26864644.0,6216690.0,358621.0
HNX3.L,2026-06-25,17.7603,36947414.0,13545599.0,606711.0
HNX3.L,2026-06-26,16.4838,31581060.0,13480014.0,747970.0
HNX3.L,2026-06-29,17.2521,33368855.0,4882027.0,324118.0
HNX3.L,2026-07-01,8.3665,28424112.0,6330388.0,462227.0
HNX3.L,2026-07-02,8.2495,15455379.0,10336821.0,1171711.0
SMG3.L,2026-06-10,9.2738,231845.0,0.0,0.0
SMG3.L,2026-06-11,11.5642,231845.0,0.0,0.0
SMG3.L,2026-06-12,12.9019,284320.0,64743.0,5309.0
SMG3.L,2026-06-15,13.8688,326699.0,407178.0,27808.0
SMG3.L,2026-06-16,13.6942,342354.0,1315329.0,103707.0
SMG3.L,2026-06-17,15.3147,1789809.0,148439.0,10986.0
SMG3.L,2026-06-18,15.8505,1994320.0,293169.0,16081.0
SMG3.L,2026-06-19,14.73,1828330.0,491038.0,30698.0
SMG3.L,2026-06-22,14.8623,2452286.0,917818.0,54943.0
SMG3.L,2026-06-23,11.6084,1534469.0,796230.0,80638.0
SMG3.L,2026-06-24,13.8847,3209363.0,561006.0,47503.0
SMG3.L,2026-06-25,12.2138,3753409.0,1372606.0,111338.0
SMG3.L,2026-06-26,10.2915,3229778.0,393042.0,32838.0
SMG3.L,2026-06-29,11.1977,2668328.0,426009.0,43789.0
SMG3.L,2026-07-01,6.8327,2826762.0,352269.0,40933.0
SMG3.L,2026-07-02,6.4308,1993551.0,385307.0,61307.0
