Date,국가명,ISIN,종목명,보관잔고금액,종목구분
2025-11-03,홍콩,HK0001205258,XL2CSOPHYNIX,10292745,SK하이닉스 2x (7709)
2025-11-04,홍콩,HK0001205258,XL2CSOPHYNIX,9556870,SK하이닉스 2x (7709)
2025-11-05,홍콩,HK0001205258,XL2CSOPHYNIX,10112800,SK하이닉스 2x (7709)
2025-11-06,홍콩,HK0001205258,XL2CSOPHYNIX,12741285,SK하이닉스 2x (7709)
2025-11-07,홍콩,HK0001205258,XL2CSOPHYNIX,14872372,SK하이닉스 2x (7709)
2025-11-10,홍콩,HK0001205258,XL2CSOPHYNIX,17289592,SK하이닉스 2x (7709)
2025-11-11,홍콩,HK0001205258,XL2CSOPHYNIX,17483026,SK하이닉스 2x (7709)
2025-11-12,홍콩,HK0001205258,XL2CSOPHYNIX,20206406,SK하이닉스 2x (7709)
2025-11-13,홍콩,HK0001205258,XL2CSOPHYNIX,20270690,SK하이닉스 2x (7709)
2025-11-14,홍콩,HK0001205258,XL2CSOPHYNIX,17521540,SK하이닉스 2x (7709)
2025-11-17,홍콩,HK0001205258,XL2CSOPHYNIX,20545879,SK하이닉스 2x (7709)
2025-11-18,홍콩,HK0001205258,XL2CSOPHYNIX,18328756,SK하이닉스 2x (7709)
2025-11-19,홍콩,HK0001205258,XL2CSOPHYNIX,18805315,SK하이닉스 2x (7709)
2025-11-20,홍콩,HK0001205258,XL2CSOPHYNIX,19498505,SK하이닉스 2x (7709)
2025-11-21,홍콩,HK0001205258,XL2CSOPHYNIX,16455311,SK하이닉스 2x (7709)
2025-11-24,홍콩,HK0001205258,XL2CSOPHYNIX,17863055,SK하이닉스 2x (7709)
2025-11-25,홍콩,HK0001205258,XL2CSOPHYNIX,17627806,SK하이닉스 2x (7709)
2025-11-26,홍콩,HK0001205258,XL2CSOPHYNIX,18392210,SK하이닉스 2x (7709)
2025-11-26,홍콩,HK0001121349,XL2CSOPSMSN,9731855,삼성 2x (7747/9747)
2025-11-27,홍콩,HK0001205258,XL2CSOPHYNIX,19547055,SK하이닉스 2x (7709)
2025-11-27,홍콩,HK0001121349,XL2CSOPSMSN,10016949,삼성 2x (7747/9747)
2025-11-28,홍콩,HK0001205258,XL2CSOPHYNIX,19981721,SK하이닉스 2x (7709)
2025-11-28,홍콩,HK0001121349,XL2CSOPSMSN,10213745,삼성 2x (7747/9747)
2025-12-01,홍콩,HK0001205258,XL2CSOPHYNIX,20475924,SK하이닉스 2x (7709)
2025-12-01,홍콩,HK0001121349,XL2CSOPSMSN,10207849,삼성 2x (7747/9747)
2025-12-02,홍콩,HK0001205258,XL2CSOPHYNIX,21975639,SK하이닉스 2x (7709)
2025-12-02,홍콩,HK0001121349,XL2CSOPSMSN,11142765,삼성 2x (7747/9747)
2025-12-03,홍콩,HK0001205258,XL2CSOPHYNIX,21596990,SK하이닉스 2x (7709)
2025-12-03,홍콩,HK0001121349,XL2CSOPSMSN,11703446,삼성 2x (7747/9747)
2025-12-04,홍콩,HK0001205258,XL2CSOPHYNIX,20834154,SK하이닉스 2x (7709)
2025-12-04,홍콩,HK0001121349,XL2CSOPSMSN,11782556,삼성 2x (7747/9747)
2025-12-05,홍콩,HK0001205258,XL2CSOPHYNIX,20766201,SK하이닉스 2x (7709)
2025-12-05,홍콩,HK0001121349,XL2CSOPSMSN,12569241,삼성 2x (7747/9747)
2025-12-08,홍콩,HK0001205258,XL2CSOPHYNIX,23717582,SK하이닉스 2x (7709)
2025-12-08,홍콩,HK0001121349,XL2CSOPSMSN,13168897,삼성 2x (7747/9747)
2025-12-09,홍콩,HK0001205258,XL2CSOPHYNIX,23228759,SK하이닉스 2x (7709)
