Date,국가명,ISIN,종목명,매수대금,매도대금,매수매도대금,순매수대금
2025-05-26,홍콩,CNE100006WS8,CATL ORD H,3589387,511668,4101055,3077719
2025-05-26,홍콩,CNE100000296,BYD CO LTD-H,1731863,1469540,3201403,262324
2025-05-26,홍콩,KYG9830T1067,XIAOMI CORP,1576915,1460921,3037836,115993
2025-05-26,홍콩,KYG319891092,ESR CAYMAN LTD,0,1637820,1637820,-1637820
2025-05-26,홍콩,KYG017191142,ALIBABA GROUP HOLDING LTD,600266,475145,1075411,125121
2025-05-26,홍콩,KYG8020E1199,SEMICONDUCTOR MANUFACTURING INTL CORP,399961,652324,1052285,-252363
2025-05-26,홍콩,KYG982AW1003,XPENG INC,542568,312912,855480,229656
2025-05-26,홍콩,IT0003874101,PRADA SPA,659455,0,659455,659455
2025-05-26,홍콩,KYG7170M1033,POP MART INTL GROUP LTD,511096,111764,622860,399332
2025-05-26,홍콩,KYG6180F1081,MNSO,605043,14210,619254,590833
2025-05-26,홍콩,KYG596691041,MEITUAN,139250,455566,594816,-316316
2025-05-26,홍콩,KYG3887G1091,GIANT BIOGENE,539141,14407,553549,524734
2025-05-26,홍콩,KYG875721634,TENCENT HOLDINGS LTD,271222,189141,460363,82082
2025-05-26,홍콩,KYG5479M1050,LI AUTO INC,307861,0,307861,307861
2025-05-26,홍콩,CNE100006CQ4,Ubtech Robotics Ord Shs H,164117,63913,228030,100204
2025-05-26,홍콩,KYG4602S1057,HORIZONROBOT-W,85075,127261,212336,-42186
2025-05-26,홍콩,HK0000672946,CSOP HANG SENG TECH INDEX DAILY 2X LEVERAGED ETF,94852,106450,201302,-11598
2025-05-26,홍콩,HK0000748381,YESASIA HOLDINGS LTD,130098,62509,192606,67589
2025-05-26,홍콩,KYG7611S1075,ROBOSENSE,68484,75491,143975,-7007
2025-05-26,홍콩,KYG210961051,CHINA MENGNIU DAIRY CO LTD,0,140874,140874,-140874
2025-05-26,홍콩,KYG070341048,BAIDU INC CL A,77421,56799,134220,20622
2025-05-26,홍콩,KYG9066F1019,TRIP.COM GROUP LTD,28226,105786,134012,-77560
2025-05-26,홍콩,CNE100006QG5,INNOSCIENCE,128645,3474,132119,125171
2025-05-26,홍콩,KYG8875G1029,3SBIO INC,14172,112136,126307,-97964
2025-05-26,홍콩,HK0000716081,GLOBAL X CHINA GLOBAL LEADERS ETF (HKD),938,119916,120854,-118978
2025-05-26,홍콩,HK0000962925,GLOBAL X INNOVATIVE BLUECHIP TOP 10 ETF,0,111394,111394,-111394
2025-05-26,홍콩,CNE100006QF7,Dobot,56050,50195,106245,5856
2025-05-26,홍콩,LU0633102719,SAMSONITE INTERNATIONAL SA,0,104574,104574,-104574
2025-05-26,홍콩,HK0992009065,LENOVO GROUP LTD,28944,67176,96120,-38232
2025-05-26,홍콩,KYG3777B1032,GEELY AUTOMOBILE HOLDINGS LTD,15409,76790,92199,-61381
2025-05-26,홍콩,CNE100005KD7,Beijing Fourth Paradigm Technology,1193,83304,84497,-82111
2025-05-26,홍콩,CNE100006JG0,LAOPU GOLD,41515,42352,83867,-837
2025-05-26,홍콩,KYG970081173,WUXI BIOLOGICS CAYMAN INC,68478,1546,70024,66932
2025-05-26,홍콩,HK0000640323,HANG SENG TECH INDEX ETF HKD,69559,0,69559,69559
2025-05-26,홍콩,KYG532631028,KUAISHOU TECHNOLOGY,42554,26787,69341,15767
2025-05-26,홍콩,HK1093012172,CSPC PHARMACEUTICAL GROUP LTD,0,66507,66507,-66507
2025-05-26,홍콩,CNE100006PM5,01318,43891,17888,61780,26003
2025-05-26,홍콩,HK0000672953,CSOP HANG SENG TECH INDEX DAILY -2X INVERSE ETF,29743,29634,59376,109
2025-05-26,홍콩,HK0000562659,GLOBAL X CHINA ELECTRIC VEHICLE AND BATTERY ETF (HKD),8879,50358,59237,-41478
2025-05-26,홍콩,CNE100003F01,CANSINO BIOLOGICS INC-H,54412,0,54412,54412
2025-05-26,홍콩,HK0000921228,Global X HANG SENG TECH ETF,5469,47852,53321,-42383
2025-05-26,홍콩,KYG3902L1095,GDS HOLDINGS LTD,26255,25799,52055,456
2025-05-26,홍콩,HK0000218211,HUA HONG SEMICONDUCTOR LTD,36070,15913,51983,20157
2025-05-26,홍콩,KYG4818G1010,INNOVENT BIOLOGICS INC,32263,17711,49974,14552
2025-05-26,홍콩,HK0000562626,GLOBAL X CHINA CONSUMER BRAND ETF (USD),0,49842,49842,-49842
2025-05-26,홍콩,CNE100005MX1,Chicmax Cosmetic,18740,30084,48824,-11345
2025-05-26,홍콩,CNE1000048G6,REMEGEN CO LTD-H,42921,0,42921,42921
2025-05-26,홍콩,HK0000637840,GLOBAL X CHINA ROBOTICS AND AI ETF (USD),0,42600,42600,-42600
2025-05-26,홍콩,HK0000642568,CSOP HANG SENG TECH INDEX ETF (HKD),3974,38362,42336,-34388
2025-05-26,홍콩,CNE1000003W8,PETROCHINA CO LTD-H,3292,37949,41241,-34658
2025-05-27,홍콩,CNE100000296,BYD CO LTD-H,6074570,594371,6668940,5480199
2025-05-27,홍콩,KYG9830T1067,XIAOMI CORP,2837053,926696,3763749,1910357
2025-05-27,홍콩,KYG7170M1033,POP MART INTL GROUP LTD,1838223,1854602,3692825,-16380
2025-05-27,홍콩,CNE100006WS8,CATL ORD H,3259387,415112,3674499,2844275
2025-05-27,홍콩,KYG017191142,ALIBABA GROUP HOLDING LTD,878528,788062,1666591,90466
2025-05-27,홍콩,KYG319891092,ESR CAYMAN LTD,0,1636429,1636429,-1636429
2025-05-27,홍콩,CNE100006CQ4,Ubtech Robotics Ord Shs H,207232,1104163,1311396,-896931
2025-05-27,홍콩,KYG875721634,TENCENT HOLDINGS LTD,357199,903966,1261166,-546767
2025-05-27,홍콩,KYG8020E1199,SEMICONDUCTOR MANUFACTURING INTL CORP,259488,658923,918411,-399436
2025-05-27,홍콩,KYG4602S1057,HORIZONROBOT-W,544384,253885,798270,290499
2025-05-27,홍콩,KYG3887G1091,GIANT BIOGENE,53355,651216,704571,-597862
2025-05-27,홍콩,KYG596691041,MEITUAN,443944,88967,532911,354977
2025-05-27,홍콩,KYG6180F1081,MNSO,500826,11951,512777,488875
2025-05-27,홍콩,KYG7611S1075,ROBOSENSE,412978,96102,509080,316875
2025-05-27,홍콩,KYG982AW1003,XPENG INC,252757,135315,388072,117441
2025-05-27,홍콩,HK0000672946,CSOP HANG SENG TECH INDEX DAILY 2X LEVERAGED ETF,147904,106476,254380,41428
2025-05-27,홍콩,KYG532631028,KUAISHOU TECHNOLOGY,213551,12843,226394,200708
2025-05-27,홍콩,IT0003874101,PRADA SPA,220153,0,220153,220153
2025-05-27,홍콩,KYG4818G1010,INNOVENT BIOLOGICS INC,11205,186244,197448,-175039
2025-05-27,홍콩,HK0000562659,GLOBAL X CHINA ELECTRIC VEHICLE AND BATTERY ETF (HKD),93050,96878,189929,-3828
2025-05-27,홍콩,HK0000921228,Global X HANG SENG TECH ETF,27518,156921,184440,-129403
2025-05-27,홍콩,HK0000748381,YESASIA HOLDINGS LTD,141612,38962,180574,102650
2025-05-27,홍콩,CNE1000002H1,CHINA CONSTRUCTION BANK CORP-H,162580,4015,166595,158565
2025-05-27,홍콩,KYG0535Q1331,ASM PACIFIC TECHNOLOGY LTD,156071,4688,160759,151384
2025-05-27,홍콩,KYG8875G1029,3SBIO INC,91345,65962,157308,25383
