Date,국가명,ISIN,종목명,매수대금,매도대금,매수매도대금,순매수대금,종목구분
2025-06-02,홍콩,HK0001121349,XL2CSOPSMSN,108973,0,108973,108973,삼성 2x (7747/9747)
2025-06-03,홍콩,HK0001121349,XL2CSOPSMSN,117193,221,117413,116972,삼성 2x (7747/9747)
2025-06-04,홍콩,HK0001121349,XL2CSOPSMSN,32369,13442,45810,18927,삼성 2x (7747/9747)
2025-06-05,홍콩,HK0001121349,XL2CSOPSMSN,17401,0,17401,17401,삼성 2x (7747/9747)
2025-06-06,홍콩,HK0001121349,XL2CSOPSMSN,260959,4356,265315,256603,삼성 2x (7747/9747)
2025-06-09,홍콩,HK0001121349,XL2CSOPSMSN,42348,139142,181490,-96793,삼성 2x (7747/9747)
2025-06-10,홍콩,HK0001121349,XL2CSOPSMSN,25462,362,25823,25100,삼성 2x (7747/9747)
2025-06-13,홍콩,HK0001121349,XL2CSOPSMSN,27344,187495,214840,-160151,삼성 2x (7747/9747)
2025-06-16,홍콩,HK0001121349,XL2CSOPSMSN,64715,116423,181138,-51708,삼성 2x (7747/9747)
2025-06-17,홍콩,HK0001121349,XL2CSOPSMSN,51150,10340,61489,40810,삼성 2x (7747/9747)
2025-06-18,홍콩,HK0001121349,XL2CSOPSMSN,225941,67524,293465,158417,삼성 2x (7747/9747)
2025-06-19,홍콩,HK0001121349,XL2CSOPSMSN,48620,349,48970,48271,삼성 2x (7747/9747)
2025-06-23,홍콩,HK0001121349,XL2CSOPSMSN,115630,3367,118997,112263,삼성 2x (7747/9747)
2025-06-24,홍콩,HK0001121349,XL2CSOPSMSN,43191,18089,61280,25102,삼성 2x (7747/9747)
2025-06-25,홍콩,HK0001121349,XL2CSOPSMSN,114035,225156,339191,-111121,삼성 2x (7747/9747)
2025-06-26,홍콩,HK0001121349,XL2CSOPSMSN,55600,14844,70444,40756,삼성 2x (7747/9747)
2025-06-27,홍콩,HK0001121349,XL2CSOPSMSN,41463,35174,76638,6289,삼성 2x (7747/9747)
2025-06-30,홍콩,HK0001121349,XL2CSOPSMSN,135008,5869,140877,129139,삼성 2x (7747/9747)
2025-07-01,홍콩,HK0001121349,XL2CSOPSMSN,24687,493,25180,24194,삼성 2x (7747/9747)
2025-07-02,홍콩,HK0001121349,XL2CSOPSMSN,460368,14813,475180,445555,삼성 2x (7747/9747)
2025-07-03,홍콩,HK0001121349,XL2CSOPSMSN,71086,249,71335,70837,삼성 2x (7747/9747)
2025-07-07,홍콩,HK0001121349,XL2CSOPSMSN,231559,221274,452833,10285,삼성 2x (7747/9747)
2025-07-08,홍콩,HK0001121349,XL2CSOPSMSN,132696,147246,279943,-14550,삼성 2x (7747/9747)
2025-07-09,홍콩,HK0001121349,XL2CSOPSMSN,61486,11471,72957,50015,삼성 2x (7747/9747)
2025-07-10,홍콩,HK0001121349,XL2CSOPSMSN,233410,21050,254460,212360,삼성 2x (7747/9747)
2025-07-11,홍콩,HK0001121349,XL2CSOPSMSN,47688,20644,68332,27044,삼성 2x (7747/9747)
2025-07-14,홍콩,HK0001121349,XL2CSOPSMSN,190315,1623,191938,188692,삼성 2x (7747/9747)
2025-07-15,홍콩,HK0001121349,XL2CSOPSMSN,348586,23212,371798,325375,삼성 2x (7747/9747)
2025-07-16,홍콩,HK0001121349,XL2CSOPSMSN,29185,121478,150663,-92293,삼성 2x (7747/9747)
2025-07-17,홍콩,HK0001121349,XL2CSOPSMSN,201852,42622,244473,159230,삼성 2x (7747/9747)
2025-07-18,홍콩,HK0001121349,XL2CSOPSMSN,170252,169181,339433,1070,삼성 2x (7747/9747)
2025-07-21,홍콩,HK0001121349,XL2CSOPSMSN,233036,550149,783185,-317113,삼성 2x (7747/9747)
2025-07-22,홍콩,HK0001121349,XL2CSOPSMSN,156530,149994,306524,6536,삼성 2x (7747/9747)
2025-07-23,홍콩,HK0001121349,XL2CSOPSMSN,244702,18659,263362,226043,삼성 2x (7747/9747)
2025-07-24,홍콩,HK0001121349,XL2CSOPSMSN,155122,41288,196410,113833,삼성 2x (7747/9747)
2025-07-25,홍콩,HK0001121349,XL2CSOPSMSN,129938,7588,137526,122350,삼성 2x (7747/9747)
2025-07-28,홍콩,HK0001121349,XL2CSOPSMSN,32768,23601,56369,9167,삼성 2x (7747/9747)
2025-07-29,홍콩,HK0001121349,XL2CSOPSMSN,95680,6554,102234,89126,삼성 2x (7747/9747)
