Halt Date,Halt Time,Symbol,Name,Exchange,Reason,Resume Date,NYSE Resume Time
2025-09-30,19:50:00,COOP,Mr. Cooper Group Inc. Common Stock,Nasdaq,News pending,,
2025-09-30,19:50:00,YHGJ,Yunhong Green CTI Ltd. Common Stock,Nasdaq,News pending,2025-10-01,09:00:00
2025-09-30,19:50:00,YHGJ,Yunhong Green CTI Ltd. Common Stock,Nasdaq,News pending,,
2025-09-30,16:01:00,RVYL,Ryvyl Inc. Common Stock,Nasdaq,News pending,2025-09-30,16:25:00
2025-09-30,15:57:15,DKI,DarkIris Inc. Class A Ordinary Shares,Nasdaq,LULD pause,2025-09-30,16:00:00
2025-09-30,15:43:33,EPSM,Epsium Enterprise Limited Class A Ordinary Shares,Nasdaq,LULD pause,2025-09-30,15:48:33
2025-09-30,15:41:25,EMPG,Empro Group Inc. Ordinary shares,Nasdaq,LULD pause,2025-09-30,15:46:25
2025-09-30,15:37:54,EPSM,Epsium Enterprise Limited Class A Ordinary Shares,Nasdaq,LULD pause,2025-09-30,15:42:54
2025-09-30,15:28:49,EPSM,Epsium Enterprise Limited Class A Ordinary Shares,Nasdaq,LULD pause,2025-09-30,15:33:49
2025-09-30,15:19:12,EPSM,Epsium Enterprise Limited Class A Ordinary Shares,Nasdaq,LULD pause,2025-09-30,15:24:12
2025-09-30,15:04:34,WLACU,Willow Lane Acquisition Corp. Unit,Nasdaq,LULD pause,2025-09-30,15:09:34
2025-09-30,14:40:54,IROH,Iron Horse Acquisitions Corp. Common Stock,Nasdaq,LULD pause,2025-09-30,14:45:54
2025-09-30,14:24:27,IROHU,Iron Horse Acquisitions Corp. Unit,Nasdaq,LULD pause,2025-09-30,14:37:59
2025-09-30,13:44:05,CHOW,ChowChow Cloud International Holdings Limited,NYSE American,LULD pause,2025-09-30,13:49:05
2025-09-30,13:42:44,IROH,Iron Horse Acquisitions Corp. Common Stock,Nasdaq,LULD pause,2025-09-30,14:37:44
2025-09-30,12:55:55,ATMV,AlphaVest Acquisition Corp Ordinary Shares,Nasdaq,LULD pause,2025-09-30,13:05:55
2025-09-30,12:46:42,DKI,DarkIris Inc. Class A Ordinary Shares,Nasdaq,LULD pause,2025-09-30,12:56:42
2025-09-30,12:37:57,DKI,DarkIris Inc. Class A Ordinary Shares,Nasdaq,LULD pause,2025-09-30,12:42:57
2025-09-30,12:30:27,DKI,DarkIris Inc. Class A Ordinary Shares,Nasdaq,LULD pause,2025-09-30,12:35:27
2025-09-30,12:06:47,LHAI,Linkhome Holdings Inc. Common stock,Nasdaq,LULD pause,2025-09-30,12:11:47
2025-09-30,12:01:02,LHAI,Linkhome Holdings Inc. Common stock,Nasdaq,LULD pause,2025-09-30,12:06:02
2025-09-30,11:44:33,DLXY,Delixy Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-09-30,11:49:33
