Halt Date,Halt Time,Symbol,Name,Exchange,Reason,Resume Date,NYSE Resume Time
2024-12-31,19:50:58,KLIP,KraneShares China Internet and Covered Call Strategy ETF,NYSE Arca,Corporate Action,2025-01-02,09:00:00
2024-12-31,19:50:58,KLIP,KraneShares China Internet and Covered Call Strategy ETF,NYSE Arca,Corporate Action,,
2024-12-31,19:50:42,ATCH,"""AtlasClear Holdings, Inc.""",NYSE American,Corporate Action,2025-01-02,09:05:00
2024-12-31,19:50:42,ATCH,"""AtlasClear Holdings, Inc.""",NYSE American,Corporate Action,,
2024-12-31,19:50:00,ELBM,Electra Battery Materials Corporation Common Stock,Nasdaq,News pending,2025-01-02,09:00:00
2024-12-31,19:50:00,ELBM,Electra Battery Materials Corporation Common Stock,Nasdaq,News pending,,
2024-12-31,19:50:00,MNTX,"""Manitex International, Inc.""",Nasdaq,News pending,,
2024-12-31,19:50:00,CISS,C3is Inc. Common Stock,Nasdaq,News pending,,
2024-12-31,19:50:00,CISS,C3is Inc. Common Stock,Nasdaq,News pending,2025-01-02,09:00:00
2024-12-31,15:52:20,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,LULD pause,2024-12-31,16:00:00
2024-12-31,15:32:24,IZTC,Invizyne Technologies Inc. Common Stock,Nasdaq,LULD pause,2024-12-31,15:37:24
2024-12-31,14:50:44,SRL,Scully Royalty Ltd. Common Shares,NYSE,LULD pause,2024-12-31,14:56:00
2024-12-31,14:30:03,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,LULD pause,2024-12-31,14:40:03
2024-12-31,14:22:48,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,LULD pause,2024-12-31,14:27:48
2024-12-31,14:17:09,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,LULD pause,2024-12-31,14:22:09
2024-12-31,14:10:51,AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),NYSE American,LULD pause,2024-12-31,14:30:43
2024-12-31,14:03:45,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,LULD pause,2024-12-31,14:13:46
2024-12-31,13:58:16,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,LULD pause,2024-12-31,14:03:16
2024-12-31,13:54:31,CLRO,"""ClearOne, Inc. (DE) Common Stock""",Nasdaq,LULD pause,2024-12-31,13:59:31
2024-12-31,13:52:13,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,LULD pause,2024-12-31,13:57:13
2024-12-31,13:45:24,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,LULD pause,2024-12-31,13:50:24
2024-12-31,13:44:51,HE,"""Hawaiian Electric Industries, Inc.""",NYSE,News pending,2024-12-31,14:07:52
2024-12-31,13:40:55,SISI,"""Shineco, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,13:50:55
2024-12-31,13:39:12,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,LULD pause,2024-12-31,13:44:12
2024-12-31,13:32:11,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,LULD pause,2024-12-31,13:37:11
2024-12-31,13:30:23,SISI,"""Shineco, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,13:40:23
2024-12-31,13:26:16,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,LULD pause,2024-12-31,13:31:16
2024-12-31,13:24:15,SISI,"""Shineco, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,13:29:15
2024-12-31,13:15:07,SISI,"""Shineco, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,13:20:07
2024-12-31,13:14:40,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,LULD pause,2024-12-31,13:24:40
2024-12-31,13:08:54,SISI,"""Shineco, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,13:13:54
2024-12-31,12:41:53,HCTI,"""Healthcare Triangle, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,12:46:53
2024-12-31,12:35:12,HCTI,"""Healthcare Triangle, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,12:40:12
2024-12-31,12:13:20,YSXT,"""YSX Tech. Co., Ltd Class A Ordinary Shares""",Nasdaq,LULD pause,2024-12-31,12:18:20
2024-12-31,12:03:26,HOLO,MicroCloud Hologram Inc. Ordinary Shares,Nasdaq,LULD pause,2024-12-31,12:08:26
2024-12-31,11:58:26,LSE,"""Leishen Energy Holding Co., Ltd. Ordinary Shares""",Nasdaq,LULD pause,2024-12-31,12:03:26
2024-12-31,11:58:12,NCI,Neo-Concept International Group Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2024-12-31,12:03:12
2024-12-31,11:57:13,YSXT,"""YSX Tech. Co., Ltd Class A Ordinary Shares""",Nasdaq,LULD pause,2024-12-31,12:02:13
2024-12-31,11:53:23,HOLO,MicroCloud Hologram Inc. Ordinary Shares,Nasdaq,LULD pause,2024-12-31,11:58:23
2024-12-31,11:52:31,NCI,Neo-Concept International Group Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2024-12-31,11:57:31
2024-12-31,11:51:42,YSXT,"""YSX Tech. Co., Ltd Class A Ordinary Shares""",Nasdaq,LULD pause,2024-12-31,11:56:42
2024-12-31,11:49:44,ONCO,"""Onconetix, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,11:54:44
2024-12-31,11:46:27,NCI,Neo-Concept International Group Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2024-12-31,11:51:27
2024-12-31,11:44:06,BDMD,Baird Medical Investment Holdings Ltd Ordinary Share,Nasdaq,LULD pause,2024-12-31,11:49:06
2024-12-31,11:42:12,ONCO,"""Onconetix, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,11:47:12
2024-12-31,11:41:12,YSXT,"""YSX Tech. Co., Ltd Class A Ordinary Shares""",Nasdaq,LULD pause,2024-12-31,11:51:12
2024-12-31,11:40:04,NCI,Neo-Concept International Group Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2024-12-31,11:45:04
2024-12-31,11:38:55,HOLO,MicroCloud Hologram Inc. Ordinary Shares,Nasdaq,LULD pause,2024-12-31,11:51:36
2024-12-31,11:36:32,ONCO,"""Onconetix, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,11:41:32
2024-12-31,11:33:37,NCI,Neo-Concept International Group Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2024-12-31,11:38:37
2024-12-31,11:33:12,HOLO,MicroCloud Hologram Inc. Ordinary Shares,Nasdaq,LULD pause,2024-12-31,11:38:12
2024-12-31,11:31:48,MARX,Mars Acquisition Corp. Ordinary Shares,Nasdaq,LULD pause,2024-12-31,11:41:57
2024-12-31,11:30:17,MLGO,"""MicroAlgo, Inc. Ordinary Shares""",Nasdaq,LULD pause,2024-12-31,11:35:17
2024-12-31,11:23:14,NCI,Neo-Concept International Group Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2024-12-31,11:33:14
2024-12-31,11:21:29,HOLO,MicroCloud Hologram Inc. Ordinary Shares,Nasdaq,LULD pause,2024-12-31,11:32:44
2024-12-31,11:17:45,CLRO,"""ClearOne, Inc. (DE) Common Stock""",Nasdaq,LULD pause,2024-12-31,11:22:45
2024-12-31,11:14:25,ONCO,"""Onconetix, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,11:19:25
2024-12-31,11:14:01,FLYE,"""Fly-E Group, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,11:19:01
2024-12-31,11:00:52,FLYE,"""Fly-E Group, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,11:05:52
2024-12-31,10:54:21,BDMD,Baird Medical Investment Holdings Ltd Ordinary Share,Nasdaq,LULD pause,2024-12-31,10:59:21
2024-12-31,10:52:35,AMOD,"""Alpha Modus Holdings, Inc. Class A Common Stock""",Nasdaq,LULD pause,2024-12-31,10:57:35
2024-12-31,10:51:47,ONCO,"""Onconetix, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,10:56:47
2024-12-31,10:43:46,BREA,Brera Holdings PLC Class B Ordinary Shares,Nasdaq,LULD pause,2024-12-31,10:48:46
2024-12-31,10:38:12,BDMD,Baird Medical Investment Holdings Ltd Ordinary Share,Nasdaq,LULD pause,2024-12-31,10:43:12
2024-12-31,10:31:53,BREA,Brera Holdings PLC Class B Ordinary Shares,Nasdaq,LULD pause,2024-12-31,10:36:53
2024-12-31,10:27:56,ONCO,"""Onconetix, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,10:32:56
2024-12-31,10:26:17,BREA,Brera Holdings PLC Class B Ordinary Shares,Nasdaq,LULD pause,2024-12-31,10:31:17
2024-12-31,10:21:59,ABTS,Abits Group Inc Ordinary Shares,Nasdaq,LULD pause,2024-12-31,10:26:59
2024-12-31,10:20:53,PERF,Perfect Corp.,NYSE,LULD pause,2024-12-31,10:25:57
2024-12-31,10:20:27,BREA,Brera Holdings PLC Class B Ordinary Shares,Nasdaq,LULD pause,2024-12-31,10:25:27
2024-12-31,10:19:41,ONCO,"""Onconetix, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,10:24:41
2024-12-31,10:19:04,OPTN,"""OptiNose, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,10:24:04
2024-12-31,10:15:18,ITP,"""IT Tech Packaging, Inc.""",NYSE American,LULD pause,2024-12-31,10:20:18
2024-12-31,10:13:59,FLYE,"""Fly-E Group, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,10:18:59
2024-12-31,10:07:56,ONCO,"""Onconetix, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,10:12:56
2024-12-31,10:06:52,BDMD,Baird Medical Investment Holdings Ltd Ordinary Share,Nasdaq,LULD pause,2024-12-31,10:16:52
2024-12-31,10:06:45,RADX,Radiopharm Theranostics Limited American Depositary Shares,Nasdaq,LULD pause,2024-12-31,10:11:45
2024-12-31,10:06:44,FLYE,"""Fly-E Group, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,10:11:44
2024-12-31,10:02:57,KXIN,Kaixin Holdings Ordinary Shares,Nasdaq,LULD pause,2024-12-31,10:12:57
2024-12-31,10:00:29,NEHC,New Era Helium Inc Common Stock,Nasdaq,LULD pause,2024-12-31,10:05:29
2024-12-31,09:57:29,MLGO,"""MicroAlgo, Inc. Ordinary Shares""",Nasdaq,LULD pause,2024-12-31,10:02:29
2024-12-31,09:55:23,ONCO,"""Onconetix, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,10:00:23
2024-12-31,09:49:37,ABTS,Abits Group Inc Ordinary Shares,Nasdaq,LULD pause,2024-12-31,09:54:37
2024-12-31,09:49:22,SIDU,"""Sidus Space, Inc. Class A Common Stock""",Nasdaq,LULD pause,2024-12-31,09:54:22
2024-12-31,09:49:02,MI,NFT Limited,NYSE American,LULD pause,2024-12-31,09:54:02
2024-12-31,09:45:53,KPLT,"""Katapult Holdings, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,09:50:53
2024-12-31,09:45:49,ONCO,"""Onconetix, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,09:50:49
2024-12-31,09:44:58,BDMD,Baird Medical Investment Holdings Ltd Ordinary Share,Nasdaq,LULD pause,2024-12-31,09:55:46
2024-12-31,09:42:15,KZIA,Kazia Therapeutics Limited American Depositary Shares,Nasdaq,LULD pause,2024-12-31,09:47:15
2024-12-31,09:37:40,ARTW,Arts-Way Manufacturing Co Inc,Nasdaq,LULD pause,2024-12-31,09:42:40
2024-12-31,09:35:37,ABTS,Abits Group Inc Ordinary Shares,Nasdaq,LULD pause,2024-12-31,09:45:37
2024-12-31,09:34:53,ICG,Intchains Group Limited American Depositary Shares,Nasdaq,LULD pause,2024-12-31,09:39:53
2024-12-31,09:34:21,BDMD,Baird Medical Investment Holdings Ltd Ordinary Share,Nasdaq,LULD pause,2024-12-31,09:44:21
2024-12-31,09:34:11,ONCO,"""Onconetix, Inc. Common Stock""",Nasdaq,LULD pause,2024-12-31,09:39:11
2024-12-31,09:34:03,MLGO,"""MicroAlgo, Inc. Ordinary Shares""",Nasdaq,LULD pause,2024-12-31,09:39:03
2024-12-31,09:32:19,ITP,"""IT Tech Packaging, Inc.""",NYSE American,LULD pause,2024-12-31,09:37:19
2024-12-31,09:31:24,WSO B,"""Watsco, Inc. Class B""",NYSE,LULD pause,2024-12-31,09:36:24
2024-12-31,09:30:39,ARTW,Arts-Way Manufacturing Co Inc,Nasdaq,LULD pause,2024-12-31,09:35:39
2024-12-31,09:30:15,AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),NYSE American,LULD pause,2024-12-31,09:35:15
2024-12-30,19:50:00,COEPW,"""Coeptis Therapeutics Holdings, Inc. Warrants""",Nasdaq,News pending,,
2024-12-30,19:50:00,COEPW,"""Coeptis Therapeutics Holdings, Inc. Warrants""",Nasdaq,News pending,2024-12-31,09:05:00
2024-12-30,19:50:00,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,News pending,,
2024-12-30,19:50:00,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,News pending,2024-12-31,09:00:00
2024-12-30,19:50:00,OST,"""Ostin Technology Group Co., Ltd. Class A Ordinary Shares""",Nasdaq,News pending,2024-12-31,09:00:00
2024-12-30,19:50:00,OST,"""Ostin Technology Group Co., Ltd. Class A Ordinary Shares""",Nasdaq,News pending,,
2024-12-30,19:50:00,OPTN,"""OptiNose, Inc. Common Stock""",Nasdaq,News pending,2024-12-31,09:00:00
2024-12-30,19:50:00,OPTN,"""OptiNose, Inc. Common Stock""",Nasdaq,News pending,,
2024-12-30,19:50:00,CARA,"""Cara Therapeutics, Inc.""",Nasdaq,News pending,2024-12-31,09:00:00
2024-12-30,19:50:00,CARA,"""Cara Therapeutics, Inc.""",Nasdaq,News pending,,
2024-12-30,16:37:51,DNMR,"""Danimer Scientific, Inc.""",NYSE,News Released,,
2024-12-30,16:25:00,AFBI,"""Affinity Bancshares, Inc. Common Stock (MD)""",Nasdaq,News pending,2024-12-30,17:01:00
2024-12-30,16:05:06,DNMR,"""Danimer Scientific, Inc.""",NYSE,News pending,See Subsequent Halt,See Subsequent Halt
2024-12-30,15:51:59,WATT,Energous Corporation,Nasdaq,LULD pause,2024-12-30,16:00:00
2024-12-30,15:50:02,MARX,Mars Acquisition Corp. Ordinary Shares,Nasdaq,LULD pause,2024-12-30,16:00:00
2024-12-30,15:42:16,ICG,Intchains Group Limited American Depositary Shares,Nasdaq,LULD pause,2024-12-30,16:00:00
2024-12-30,15:39:01,MARX,Mars Acquisition Corp. Ordinary Shares,Nasdaq,LULD pause,2024-12-30,15:49:02
2024-12-30,15:36:45,ICG,Intchains Group Limited American Depositary Shares,Nasdaq,LULD pause,2024-12-30,15:41:45
2024-12-30,15:33:43,AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),NYSE American,LULD pause,2024-12-30,15:43:43
2024-12-30,15:31:55,WATT,Energous Corporation,Nasdaq,LULD pause,2024-12-30,15:36:55
2024-12-30,15:31:28,ICG,Intchains Group Limited American Depositary Shares,Nasdaq,LULD pause,2024-12-30,15:36:28
2024-12-30,15:27:37,MARX,Mars Acquisition Corp. Ordinary Shares,Nasdaq,LULD pause,2024-12-30,15:37:37
2024-12-30,15:24:19,ICG,Intchains Group Limited American Depositary Shares,Nasdaq,LULD pause,2024-12-30,15:29:19
2024-12-30,15:20:58,MARX,Mars Acquisition Corp. Ordinary Shares,Nasdaq,LULD pause,2024-12-30,15:25:58
2024-12-30,15:16:18,ICG,Intchains Group Limited American Depositary Shares,Nasdaq,LULD pause,2024-12-30,15:21:18
2024-12-30,15:12:15,GDHG,Golden Heaven Group Holdings Ltd. Class A Ordinary Shares,Nasdaq,LULD pause,2024-12-30,15:17:15
